date,open,high,low,close,volume,amount,return
2000-01-04,1368.69,1407.52,1361.21,1406.37,,9032824.0,
2000-01-05,1407.83,1433.78,1398.32,1409.68,,10579392.0,0.002353576939212454
2000-01-06,1406.04,1463.96,1400.25,1463.94,,13480517.0,0.038491005050791616
2000-01-07,1477.15,1522.83,1477.15,1516.6,,34869396.0,0.035971419593699094
2000-01-10,1531.71,1546.72,1506.4,1545.11,,31253046.0,0.018798628511143445
2000-01-11,1547.68,1547.71,1468.76,1479.78,,21924568.0,-0.042281779290794796
2000-01-12,1473.76,1489.28,1435.0,1438.02,,15221934.0,-0.028220411142196755
2000-01-13,1437.45,1444.07,1418.81,1424.44,,8611943.0,-0.009443540423638042
2000-01-14,1426.22,1433.47,1401.71,1408.85,,7447013.0,-0.010944651933391447
2000-01-17,1408.99,1433.38,1402.66,1433.33,,7647977.0,0.01737587393973805
2000-01-18,1436.89,1443.59,1421.64,1426.62,,7767131.0,-0.004681406235828467
2000-01-19,1425.87,1443.67,1425.14,1440.72,,8004793.0,0.009883500862177819
2000-01-20,1443.09,1466.9,1443.09,1466.86,,10070803.0,0.01814370592481529
2000-01-21,1471.91,1476.46,1458.93,1465.09,,15050772.0,-0.0012066591222066325
2000-01-24,1465.86,1477.41,1449.47,1477.34,,16241508.0,0.008361261082936888
2000-01-25,1483.03,1490.46,1467.44,1476.51,,13635983.0,-0.0005618205694016831
2000-01-26,1477.3,1482.46,1469.98,1481.12,,10384438.0,0.003122227414646739
2000-01-27,1490.45,1506.92,1485.23,1506.77,,18979974.0,0.01731797558604309
2000-01-28,1514.56,1536.35,1510.75,1535.0,,29388162.0,0.01873544071092481
2000-02-14,1591.44,1674.13,1587.82,1673.94,,43569132.0,0.0905146579804561
2000-02-15,1709.22,1746.44,1663.01,1670.67,,52543428.0,-0.0019534750349474717
2000-02-16,1674.94,1695.88,1649.7,1693.11,,37435548.0,0.013431736967803198
2000-02-17,1734.27,1770.88,1615.63,1640.65,,51439068.0,-0.03098440148602266
2000-02-18,1623.96,1668.16,1583.58,1668.09,,26785354.0,0.016725078474994604
2000-02-21,1681.36,1697.01,1652.48,1677.14,,31011206.0,0.005425366736806936
2000-02-22,1681.3,1687.51,1627.47,1632.29,,24251776.0,-0.026741953563805154
2000-02-23,1618.01,1630.55,1586.63,1594.93,,19185730.0,-0.02288808973895562
2000-02-24,1593.95,1634.32,1593.93,1634.31,,13932876.0,0.02469073877850425
2000-02-25,1639.92,1650.37,1618.18,1631.58,,17058054.0,-0.0016704297226352027
2000-02-28,1639.8,1704.88,1639.7,1704.86,,26127946.0,0.04491351941063271
2000-02-29,1728.14,1733.14,1678.35,1714.58,,28678748.0,0.005701347911265531
2000-03-01,1720.6,1721.14,1692.51,1697.74,,22487674.0,-0.009821647283882906
2000-03-02,1697.56,1721.6,1682.54,1713.01,,19593496.0,0.008994310082816037
2000-03-03,1728.36,1750.65,1721.71,1738.02,,24815498.0,0.014600031523458679
2000-03-06,1756.31,1762.83,1678.74,1681.09,,26504710.0,-0.032755664491778025
2000-03-07,1661.95,1694.89,1654.44,1694.8,,17685018.0,0.008155422969621018
2000-03-08,1699.46,1726.04,1690.12,1726.03,,19745944.0,0.01842695303280628
2000-03-09,1734.77,1741.22,1714.92,1732.35,,17877382.0,0.0036615817801544104
2000-03-10,1731.94,1743.14,1701.79,1705.05,,15872365.0,-0.01575894016797985
2000-03-13,1706.77,1729.01,1706.35,1728.88,,19826626.0,0.01397612973226603
2000-03-14,1690.65,1700.37,1636.89,1685.35,,22870444.0,-0.02517815001619561
