date,open,high,low,close,volume,amount,return
2005-01-04,997.27,997.27,977.55,981.18,,1133499.0,
2005-01-05,980.48,991.43,974.98,985.46,,904144.0,0.0043620946207627576
2005-01-06,986.23,986.74,971.73,976.06,,942208.0,-0.00953869259026252
2005-01-07,975.66,989.12,972.62,982.92,,928986.0,0.007028256459643778
2005-01-10,981.2,989.25,976.52,988.17,,758067.0,0.005341228177267787
2005-01-11,988.16,994.39,985.82,989.99,,736369.0,0.0018417883562544812
2005-01-12,990.37,990.37,982.92,988.35,,626372.0,-0.0016565823897211063
2005-01-13,988.17,991.48,983.97,988.5,,744063.0,0.000151768098345606
2005-01-14,988.9,1000.84,981.44,983.53,,881003.0,-0.005027819929185662
2005-01-17,976.16,977.92,958.3,959.57,,1129481.0,-0.024361229449025412
2005-01-18,958.51,966.09,950.8,964.72,,1243110.0,0.0053669872963930665
2005-01-19,964.0,964.04,956.66,959.13,,879028.0,-0.0057944273986234585
2005-01-20,954.31,957.81,947.17,952.42,,1193977.0,-0.006995923388904535
2005-01-21,950.69,982.59,946.75,980.39,,2031496.0,0.0293672959408664
2005-01-24,996.59,1002.74,982.94,995.5,,1983214.0,0.015412233906914707
2005-01-25,992.59,1000.96,983.92,1000.48,,1386911.0,0.005002511300853829
2005-01-26,999.07,1000.86,990.41,992.15,,950406.0,-0.008326003518311254
2005-01-27,990.98,991.12,977.21,979.56,,922011.0,-0.012689613465705851
2005-01-28,977.59,979.19,968.61,971.96,,817456.0,-0.0077585854873616356
2005-01-31,970.08,973.88,961.26,962.9,,981250.0,-0.009321371249845778
2005-02-01,961.19,974.0,960.09,965.28,,1023580.0,0.002471700072697036
2005-02-02,965.79,1015.79,965.79,1015.56,,2759483.0,0.0520885131775235
2005-02-03,1015.58,1027.79,1001.28,1009.4,,3077758.0,-0.0060656189688447215
2005-02-04,1007.23,1037.34,1004.07,1032.17,,3092925.0,0.02255795522092341
2005-02-16,1038.29,1049.45,1031.49,1039.82,,2351869.0,0.00741156979954849
2005-02-17,1040.28,1040.28,1024.59,1032.37,,1407625.0,-0.007164701582966337
2005-02-18,1031.53,1034.52,1016.67,1016.99,,1325089.0,-0.01489775952420147
2005-02-21,1016.93,1037.75,1016.93,1037.46,,1480492.0,0.020128024857668292
2005-02-22,1037.93,1057.59,1034.23,1054.07,,2784886.0,0.01601025581709159
2005-02-23,1054.26,1058.66,1043.29,1052.91,,3077228.0,-0.0011004961719808248
2005-02-24,1051.07,1053.3,1040.31,1052.3,,2698920.0,-0.0005793467627813742
2005-02-25,1054.59,1066.03,1051.74,1052.36,,3014024.0,5.701796065760156e-05
