date,open,high,low,close,volume,amount,return
2020-01-02,1005.62,1019.91,1005.62,1019.72,,1659069.87,
2020-01-03,1021.67,1029.07,1018.68,1024.48,,1661490.31,0.004667948064174476
2020-01-06,1020.0,1040.14,1020.0,1027.28,,1843350.92,0.0027330938622520673
2020-01-07,1025.66,1043.08,1019.86,1043.08,,1874966.02,0.015380422085507384
2020-01-08,1035.84,1059.44,1034.51,1051.16,,2379123.51,0.007746289833953535
2020-01-09,1060.58,1081.4,1060.58,1078.31,,2113303.02,0.02582860839453538
2020-01-10,1082.31,1088.54,1076.44,1076.44,,1903194.03,-0.0017341951757842144
2020-01-13,1076.76,1105.85,1069.78,1105.85,,1859663.16,0.02732154137713194
2020-01-14,1107.78,1133.9,1107.78,1118.31,,2453502.28,0.011267350906542406
2020-01-15,1113.25,1120.35,1105.58,1114.77,,1799323.86,-0.0031654907852026737
2020-01-16,1116.51,1161.48,1116.51,1154.3,,2243416.7,0.03546022946437377
2020-01-17,1159.37,1252.56,1159.37,1238.66,,4408889.69,0.07308325392012494
2020-01-20,1239.44,1270.36,1208.69,1240.51,,3681522.83,0.0014935494808905325
2020-01-21,1233.65,1247.84,1194.8,1195.01,,2747565.49,-0.036678462890262886
2020-01-22,1178.78,1247.61,1157.29,1244.52,,3421028.13,0.041430615643383684
2020-01-23,1219.23,1262.44,1177.09,1202.1,,2735159.4,-0.03408543052743229
2020-02-03,1018.28,1082.79,1015.6,1030.55,,3860472.6,-0.1427085932950669
2020-02-04,1049.96,1153.23,1049.96,1153.23,,3479659.65,0.11904322934355438
2020-02-05,1166.97,1240.37,1166.97,1203.61,,3920359.99,0.043685994987990195
2020-02-06,1191.73,1251.84,1191.73,1238.76,,3684341.13,0.029203811865969875
2020-02-07,1240.04,1307.76,1234.23,1307.76,,3745513.41,0.05570086215247505
2020-02-10,1310.53,1336.53,1293.43,1322.25,,4394873.78,0.011080014681593031
2020-02-11,1318.42,1318.42,1266.21,1283.57,,3304646.13,-0.029253166950274245
2020-02-12,1274.8,1360.55,1274.8,1348.7,,3113607.71,0.05074129186565601
2020-02-13,1360.13,1409.68,1353.04,1360.71,,3998880.22,0.00890487135760365
2020-02-14,1359.37,1382.96,1305.97,1327.22,,3537072.54,-0.024612151009399508
2020-02-17,1332.97,1381.55,1332.97,1381.55,,3279010.95,0.04093518783622896
2020-02-18,1381.58,1404.71,1372.53,1399.38,,3235240.83,0.012905794216640842
2020-02-19,1398.78,1412.17,1373.44,1373.44,,3209051.08,-0.01853678057425434
2020-02-20,1377.76,1390.02,1321.73,1348.34,,2829190.53,-0.018275279589934912
2020-02-21,1337.56,1373.67,1337.56,1346.86,,2419279.63,-0.001097645994333818
2020-02-24,1341.99,1359.23,1328.75,1351.71,,2511362.26,0.0036009681778359504
2020-02-25,1312.48,1371.58,1312.48,1367.37,,2923589.49,0.01158532525467737
2020-02-26,1348.08,1361.01,1286.35,1288.24,,3155495.37,-0.05787021800975589
2020-02-27,1293.19,1293.19,1251.45,1264.94,,2182398.27,-0.018086691920760067
2020-02-28,1206.86,1231.09,1187.1,1191.05,,2606738.72,-0.058413837810489144
2020-03-02,1202.96,1259.08,1194.94,1252.62,,2928260.72,0.05169388354812976
2020-03-03,1278.27,1332.84,1272.06,1285.03,,2967961.36,0.02587376858105417
2020-03-04,1268.83,1277.69,1226.8,1255.72,,1932420.42,-0.02280880602009283
2020-03-05,1277.71,1277.71,1246.71,1264.79,,2621459.59,0.007222947790908707
2020-03-06,1246.1,1255.07,1237.62,1243.37,,1829908.2,-0.01693561777053909
2020-03-09,1216.04,1223.25,1171.86,1171.86,,2345172.51,-0.05751304921302591
2020-03-10,1148.4,1216.33,1135.21,1216.33,,2430773.26,0.03794821907053736
2020-03-11,1218.52,1233.43,1184.71,1184.71,,2842993.05,-0.025996234574498622
2020-03-12,1161.92,1177.36,1151.79,1167.06,,1752732.09,-0.014898160731318333
2020-03-13,1103.96,1187.7,1103.96,1175.28,,2010674.15,0.007043339674052795
2020-03-16,1188.08,1200.46,1115.08,1115.08,,1920521.79,-0.05122183649853651
2020-03-17,1132.95,1141.39,1079.84,1131.55,,1712221.18,0.014770240700218817
2020-03-18,1145.3,1173.23,1115.02,1115.02,,1771201.22,-0.014608280676947527
2020-03-19,1116.26,1133.69,1091.24,1128.97,,1624408.73,0.01251098635002057
2020-03-20,1140.09,1148.09,1114.29,1127.37,,1238238.48,-0.0014172210067584512
2020-03-23,1092.5,1096.4,1037.53,1039.88,,1609856.05,-0.07760540017917794
2020-03-24,1067.01,1071.34,1020.25,1060.84,,1286895.86,0.020156171865984396
2020-03-25,1097.31,1110.1,1094.16,1101.32,,1489274.43,0.03815844048112815
2020-03-26,1093.33,1111.48,1091.0,1095.34,,1061916.61,-0.005429847818980926
2020-03-27,1109.54,1110.54,1082.93,1084.51,,1314576.05,-0.009887340916975518
2020-03-30,1062.9,1062.9,1021.5,1035.83,,1223683.63,-0.04488663082866928
2020-03-31,1048.74,1055.27,1027.22,1029.75,,906230.43,-0.005869689041637982
2020-04-01,1026.58,1060.71,1026.58,1037.93,,980422.8,0.007943675649429549
2020-04-02,1033.56,1094.83,1033.56,1094.83,,1101783.25,0.054820652645168666
2020-04-03,1089.24,1095.31,1074.19,1080.53,,949516.58,-0.013061388526072526
2020-04-07,1109.61,1117.79,1108.78,1111.65,,1114525.91,0.028800681147215013
2020-04-08,1104.96,1117.81,1100.31,1104.14,,898135.4,-0.006755723474115016
2020-04-09,1107.47,1110.06,1094.92,1101.28,,821338.7,-0.0025902512362563357
2020-04-10,1100.37,1100.37,1054.35,1058.44,,1009643.72,-0.03890018887113167
2020-04-13,1048.21,1052.01,1038.82,1042.15,,676188.53,-0.015390574808208268
2020-04-14,1049.21,1073.22,1049.21,1073.22,,705676.12,0.029813366597898572
2020-04-15,1076.94,1101.67,1076.94,1088.2,,818561.29,0.013957995564749082
2020-04-16,1080.87,1097.2,1080.87,1091.93,,730030.11,0.003427678735526518
2020-04-17,1102.66,1129.12,1102.66,1117.07,,1443511.18,0.023023453884406297
2020-04-20,1119.26,1133.36,1115.72,1133.36,,938727.71,0.014582792483908813
2020-04-21,1127.66,1127.66,1108.48,1119.23,,884065.6,-0.012467353709324391
2020-04-22,1108.68,1135.85,1108.68,1135.85,,855650.78,0.014849494741920655
2020-04-23,1140.8,1157.87,1140.55,1149.72,,1188320.48,0.012211119425980632
2020-04-24,1148.59,1155.54,1139.31,1144.15,,1290375.93,-0.004844657829732424
2020-04-27,1140.19,1145.75,1136.23,1138.1,,883700.33,-0.005287768212210109
2020-04-28,1130.61,1130.61,1037.26,1113.51,,1582965.96,-0.021606185748176743
2020-04-29,1105.6,1125.19,1102.57,1102.7,,899789.97,-0.00970804034090389
2020-04-30,1107.43,1171.8,1107.43,1166.35,,1387471.71,0.057721955200870534
2020-05-06,1155.12,1252.75,1155.12,1247.51,,2171814.85,0.06958460153470236
2020-05-07,1249.64,1249.64,1218.24,1224.1,,1619519.36,-0.01876538063823141
2020-05-08,1230.91,1272.62,1230.91,1240.25,,1440638.4,0.013193366555020125
2020-05-11,1244.3,1268.08,1215.97,1226.06,,1166807.49,-0.011441241685144155
2020-05-12,1222.39,1233.64,1203.15,1233.59,,1083142.34,0.006141624390323397
2020-05-13,1227.72,1252.58,1227.72,1247.03,,1098200.2,0.010895029953225999
2020-05-14,1241.84,1258.25,1238.23,1242.17,,1277441.98,-0.0038972598894974064
2020-05-15,1244.74,1280.05,1244.74,1270.48,,1286872.38,0.022790761328964626
2020-05-18,1279.29,1279.29,1253.33,1254.3,,1517739.63,-0.012735344121906689
2020-05-19,1260.22,1324.42,1260.22,1324.42,,1484170.94,0.05590369130192152
2020-05-20,1317.4,1348.58,1297.67,1307.0,,2016168.1,-0.013152927319128427
2020-05-21,1305.91,1309.5,1251.52,1251.93,,1529176.71,-0.04213465952563111
2020-05-22,1247.6,1258.31,1208.82,1230.66,,1334373.6,-0.016989767798519018
2020-05-25,1223.87,1227.56,1205.73,1212.09,,997245.88,-0.015089464189946944
2020-05-26,1217.62,1272.92,1217.62,1272.66,,1436230.33,0.04997153676707189
2020-05-27,1271.46,1281.21,1251.08,1253.27,,1472296.34,-0.01523580532113844
2020-05-28,1251.06,1256.22,1206.62,1232.22,,1270099.14,-0.016796061503107862
2020-05-29,1227.2,1267.43,1227.2,1246.11,,1258818.8,0.011272337731898396
2020-06-01,1257.97,1309.96,1257.97,1300.74,,1685506.36,0.04384043142258709
2020-06-02,1305.8,1312.52,1294.22,1305.64,,1603707.41,0.0037670864277257188
2020-06-03,1305.73,1314.14,1293.6,1294.28,,1578917.95,-0.00870071382616966
2020-06-04,1295.16,1306.07,1291.21,1299.8,,1865732.06,0.0042649194919182065
2020-06-05,1300.25,1307.89,1292.05,1297.31,,1597262.28,-0.001915679335282361
2020-06-08,1306.5,1311.68,1277.29,1280.05,,1494183.46,-0.013304453060563826
2020-06-09,1277.45,1278.85,1269.11,1278.51,,1202087.71,-0.0012030780047653789
2020-06-10,1278.07,1278.07,1265.11,1269.98,,1074194.96,-0.006671828925858936
2020-06-11,1270.72,1294.34,1265.38,1273.59,,1309438.37,0.002842564449833773
2020-06-12,1246.8,1268.46,1246.8,1262.29,,1044287.96,-0.00887255710236412
2020-06-15,1262.48,1271.91,1249.58,1249.91,,1225673.6,-0.009807571952562322
2020-06-16,1259.09,1289.13,1259.09,1289.13,,1338497.68,0.031378259234664974
2020-06-17,1291.04,1299.78,1280.52,1291.12,,1513914.84,0.0015436767432297493
2020-06-18,1289.77,1304.49,1286.47,1302.37,,1393446.74,0.008713365140343265
2020-06-19,1301.02,1329.2,1301.02,1325.15,,1229628.22,0.01749118913979908
2020-06-22,1347.94,1380.37,1347.94,1371.21,,2034944.54,0.03475832924574562
2020-06-23,1365.33,1407.19,1365.33,1407.19,,1413524.99,0.02623959860269398
2020-06-24,1408.55,1432.99,1406.87,1424.28,,1894034.95,0.012144770784328962
2020-06-29,1415.91,1415.91,1393.71,1401.64,,1577558.77,-0.01589575083550976
2020-06-30,1410.58,1454.31,1410.58,1447.89,,1559247.89,0.03299706058617047
2020-07-01,1453.25,1459.77,1417.6,1439.88,,1671002.56,-0.005532188218718259
2020-07-02,1439.01,1452.75,1424.15,1437.05,,1776616.87,-0.001965441564574899
2020-07-03,1435.08,1441.09,1408.08,1438.59,,1812360.89,0.0010716398176819908
2020-07-06,1445.61,1547.14,1444.69,1538.4,,3517577.06,0.06938043500928015
2020-07-07,1550.3,1617.6,1550.3,1572.19,,3576657.43,0.021964378575142884
2020-07-08,1572.78,1608.19,1555.31,1599.91,,2528919.96,0.017631456757771113
2020-07-09,1596.98,1681.91,1594.26,1666.85,,3487582.04,0.04183985349175878
2020-07-10,1653.5,1682.62,1633.18,1654.83,,2748905.21,-0.007211206767255618
2020-07-13,1647.18,1721.98,1640.98,1721.98,,3048119.79,0.040578186278953154
2020-07-14,1714.87,1726.19,1647.64,1701.58,,3482677.63,-0.011846827489285672
2020-07-15,1702.58,1707.63,1611.91,1612.03,,2926989.54,-0.05262755791675966
2020-07-16,1606.44,1612.33,1460.64,1469.8,,2569123.29,-0.08823036792119254
2020-07-17,1475.46,1495.91,1425.64,1443.4,,1546350.54,-0.017961627432303673
2020-07-20,1459.78,1463.71,1388.28,1459.03,,1732561.66,0.010828599140917161
2020-07-21,1456.49,1499.85,1454.59,1490.17,,1642256.76,0.021342947026449233
2020-07-22,1474.02,1519.12,1468.11,1497.23,,3012607.84,0.004737714488950884
2020-07-23,1487.2,1512.47,1459.73,1494.14,,2324465.83,-0.0020638111712962814
2020-07-24,1467.1,1474.46,1389.31,1389.31,,3177586.82,-0.07016076137443628
2020-07-27,1396.49,1403.11,1361.98,1374.52,,1579656.56,-0.010645572262489966
2020-07-28,1385.79,1404.9,1383.28,1400.54,,1442737.62,0.01893024473998195
2020-07-29,1400.92,1476.92,1395.97,1476.92,,1950157.29,0.05453610750139237
2020-07-30,1484.43,1496.27,1467.8,1472.79,,1706308.39,-0.002796359992416675
2020-07-31,1469.1,1513.76,1467.78,1512.98,,1718355.9,0.02728834389152568
2020-08-03,1533.23,1622.81,1533.23,1622.81,,2627404.74,0.07259183862311458
2020-08-04,1620.79,1628.14,1555.9,1566.06,,2036275.56,-0.03497020600070244
2020-08-05,1592.39,1597.47,1556.68,1588.62,,1730971.26,0.01440557833033207
2020-08-06,1582.47,1589.75,1552.54,1573.87,,1754448.78,-0.009284788055041515
2020-08-07,1561.86,1568.56,1492.25,1526.8,,1925968.09,-0.029907171494468976
2020-08-10,1520.1,1555.68,1507.27,1535.6,,1773991.38,0.0057636887608067955
2020-08-11,1531.6,1539.84,1490.84,1491.84,,1613333.38,-0.02849700442823655
2020-08-12,1485.56,1488.88,1422.73,1458.64,,1724485.46,-0.02225439725439715
2020-08-13,1465.6,1482.63,1453.38,1468.23,,1348561.42,0.006574617451872822
2020-08-14,1466.8,1486.4,1453.74,1484.04,,1253298.96,0.010768067673320836
2020-08-17,1486.81,1501.25,1471.92,1496.4,,1652967.71,0.008328616479340356
2020-08-18,1496.42,1512.76,1492.96,1512.51,,1550875.09,0.01076583801122677
2020-08-19,1516.98,1517.89,1470.34,1472.02,,1683598.12,-0.026770070941679713
2020-08-20,1460.03,1473.05,1438.46,1442.58,,1173351.5,-0.019999728264561645
2020-08-21,1447.8,1467.98,1443.52,1447.71,,1208539.04,0.0035561286029197614
2020-08-24,1453.49,1457.58,1421.89,1450.67,,1197420.53,0.00204460838151288
2020-08-25,1449.54,1462.9,1424.42,1427.7,,1177618.81,-0.0158340628812893
2020-08-26,1422.0,1430.79,1377.21,1383.31,,1543257.11,-0.031091966099320634
2020-08-27,1389.94,1429.96,1380.13,1417.56,,1331965.18,0.024759453773919082
2020-08-28,1415.65,1416.82,1393.85,1413.64,,1301781.02,-0.0027653150483929467
2020-08-31,1417.66,1441.46,1417.66,1423.24,,1464192.52,0.006790979315808743
2020-09-01,1424.43,1435.65,1419.6,1426.65,,1149985.9,0.0023959416542538303
2020-09-02,1430.87,1434.92,1411.84,1422.95,,1127651.41,-0.002593488241685149
2020-09-03,1422.42,1423.89,1396.11,1402.14,,1069831.09,-0.014624547594785486
2020-09-04,1377.39,1396.0,1371.16,1390.28,,1025495.65,-0.008458499151297372
2020-09-07,1387.49,1394.9,1349.77,1356.7,,1271365.42,-0.02415340794660059
2020-09-08,1356.82,1363.28,1328.92,1344.61,,1078629.48,-0.008911328959976483
2020-09-09,1331.43,1332.07,1289.35,1298.08,,2003777.32,-0.03460482965320799
2020-09-10,1309.32,1321.06,1276.5,1280.19,,1317597.67,-0.013781893257734379
2020-09-11,1279.84,1313.85,1272.84,1312.51,,883608.99,0.025246252509393052
2020-09-14,1334.98,1372.83,1334.98,1348.07,,1358842.52,0.027093126909509158
2020-09-15,1348.79,1372.44,1334.82,1364.6,,1103974.44,0.012261974526545316
2020-09-16,1363.32,1364.42,1341.68,1349.67,,851506.85,-0.010940935072548563
2020-09-17,1347.45,1393.85,1335.03,1383.59,,2117389.87,0.02513206932064871
2020-09-18,1386.38,1403.92,1379.92,1403.9,,1599854.61,0.014679204099480536
2020-09-21,1407.07,1411.5,1390.9,1397.75,,1249804.77,-0.00438065389272746
2020-09-22,1389.78,1403.26,1379.01,1390.09,,1204430.15,-0.005480236093722057
2020-09-23,1401.37,1440.64,1400.28,1423.9,,2050419.36,0.024322166190678507
2020-09-24,1412.16,1416.38,1392.01,1394.93,,1514239.23,-0.02034552988271654
2020-09-25,1399.39,1402.68,1360.55,1364.02,,1085228.27,-0.022158818005204584
2020-09-28,1367.46,1369.04,1335.99,1338.95,,911115.09,-0.01837949590181953
2020-09-29,1345.99,1403.43,1345.99,1389.96,,1103075.99,0.03809701631875728
2020-09-30,1394.86,1431.88,1393.91,1418.8,,1140647.05,0.020748798526576184
2020-10-09,1446.52,1467.98,1446.52,1465.96,,1545003.33,0.033239357203270536
2020-10-12,1475.26,1491.61,1469.65,1490.58,,1918963.23,0.016794455510382278
2020-10-13,1491.85,1498.83,1485.13,1497.6,,1387848.33,0.0047095761381474865
2020-10-14,1495.34,1498.0,1481.12,1488.67,,1386507.12,-0.005962873931623869
2020-10-15,1489.38,1493.0,1451.88,1453.79,,1047854.57,-0.023430310276958743
2020-10-16,1457.15,1461.83,1429.08,1438.53,,1042630.73,-0.010496701724458157
2020-10-19,1444.84,1446.49,1411.27,1412.15,,1005070.57,-0.018338164654195466
2020-10-20,1413.87,1428.08,1402.71,1426.18,,891259.95,0.00993520518358526
2020-10-21,1427.24,1429.45,1396.12,1396.98,,1077825.28,-0.020474273934566467
2020-10-22,1395.13,1395.13,1373.51,1376.58,,856252.78,-0.014602929175793533
2020-10-23,1380.37,1389.52,1336.37,1336.53,,993895.55,-0.02909384125877168
2020-10-26,1332.68,1364.97,1313.45,1356.11,,837511.67,0.014649876920084015
2020-10-27,1359.18,1386.8,1354.81,1385.75,,833262.48,0.0218566340488604
2020-10-28,1396.56,1413.66,1392.07,1406.07,,1030594.19,0.014663539599494735
2020-10-29,1394.28,1418.41,1387.38,1412.06,,1099257.95,0.004260100848464177
2020-10-30,1413.51,1430.12,1393.91,1393.91,,1435777.96,-0.012853561463393781
2020-11-02,1402.08,1406.94,1370.9,1400.91,,1230176.38,0.005021845025862559
2020-11-03,1403.64,1451.63,1402.26,1449.01,,1131252.7,0.034334825220749376
2020-11-04,1454.73,1462.67,1443.42,1458.9,,936211.16,0.006825349721534035
2020-11-05,1477.61,1479.47,1453.72,1475.38,,1201756.34,0.011296182054972848
2020-11-06,1477.53,1477.53,1429.12,1441.47,,1166554.18,-0.022983909230164468
2020-11-09,1446.47,1491.52,1442.62,1485.15,,1824999.32,0.03030239963370729
2020-11-10,1483.66,1483.66,1438.59,1441.97,,1172149.32,-0.02907450425882907
2020-11-11,1440.78,1441.0,1393.73,1395.51,,1030103.4,-0.032219810398274595
2020-11-12,1404.81,1421.74,1404.57,1413.29,,826334.13,0.012740861763799627
2020-11-13,1406.68,1441.01,1401.46,1436.89,,954381.49,0.016698625193697136
2020-11-16,1520.27,1520.27,1444.39,1446.95,,1519221.26,0.007001231827070908
2020-11-17,1455.23,1455.23,1425.26,1430.81,,1164002.19,-0.011154497391064
2020-11-18,1431.66,1441.22,1418.36,1419.23,,1030158.93,-0.00809331777105271
2020-11-19,1415.64,1436.49,1408.22,1435.92,,877729.78,0.01175989797284438
2020-11-20,1433.95,1442.31,1427.31,1430.72,,921453.65,-0.003621371664159545
2020-11-23,1429.39,1429.39,1412.02,1418.1,,1101889.03,-0.008820733616640708
2020-11-24,1412.02,1420.34,1409.4,1412.75,,959108.18,-0.003772653550525251
2020-11-25,1414.19,1414.51,1387.56,1388.36,,1005049.26,-0.017264201026367054
2020-11-26,1386.21,1398.57,1380.13,1385.31,,858311.94,-0.002196836555360293
2020-11-27,1386.65,1398.14,1380.64,1387.77,,835076.87,0.0017757758191307982
2020-11-30,1392.95,1397.01,1380.22,1385.48,,1157617.91,-0.0016501293441996134
2020-12-01,1386.58,1408.04,1381.96,1404.24,,896516.49,0.013540433640326865
2020-12-02,1408.67,1419.11,1403.73,1408.49,,1123402.53,0.0030265481684041973
2020-12-03,1410.44,1418.12,1398.1,1410.83,,916087.67,0.0016613536482330549
2020-12-04,1409.59,1410.93,1401.53,1404.87,,812794.78,-0.004224463613617502
2020-12-07,1410.5,1417.78,1403.42,1406.19,,1140117.9,0.0009395887163938799
2020-12-08,1405.72,1408.79,1397.55,1398.73,,1263647.49,-0.005305115240472502
2020-12-09,1400.57,1404.23,1364.2,1365.04,,1518534.14,-0.024086135279861032
2020-12-10,1363.0,1370.83,1355.88,1360.18,,1689303.35,-0.003560335228271594
2020-12-11,1362.34,1365.43,1345.32,1362.96,,2493088.84,0.0020438471378787515
2020-12-14,1361.61,1380.05,1353.9,1375.06,,1929921.96,0.008877736690731775
2020-12-15,1373.96,1379.77,1357.36,1363.18,,2023103.35,-0.008639622998269036
2020-12-16,1357.22,1357.22,1339.96,1345.13,,2196789.34,-0.01324109802080431
2020-12-17,1343.28,1364.88,1339.9,1363.36,,1755183.37,0.013552593429631221
2020-12-18,1381.48,1381.48,1357.77,1361.11,,1646915.83,-0.001650334467785508
2020-12-21,1359.69,1390.59,1355.93,1388.67,,1983814.84,0.02024817979443272
2020-12-22,1383.29,1390.99,1355.97,1358.62,,1850442.45,-0.02163941037107464
2020-12-23,1359.73,1378.61,1355.25,1376.6,,1765752.7,0.013234016870059317
