date,open,high,low,close,volume,amount,return
2006-01-04,1005.74,1021.84,1005.74,1021.84,,13419593.33,
2006-01-05,1021.84,1043.94,1021.84,1043.24,,16555647.24,0.020942613324982373
2006-01-06,1046.99,1063.1,1040.29,1056.65,,18061820.81,0.01285418503891722
2006-01-09,1057.26,1059.67,1049.95,1058.14,,13102693.37,0.001410116878815204
2006-01-10,1057.8,1058.83,1043.53,1058.65,,12594549.63,0.00048197781011971585
2006-01-11,1057.84,1063.6,1047.38,1051.92,,13935707.49,-0.006357152977849112
2006-01-12,1049.81,1059.21,1045.51,1058.45,,10141968.41,0.0062076964027681925
2006-01-13,1059.01,1061.45,1044.41,1048.82,,9899917.27,-0.0090982096461808
2006-01-16,1047.95,1047.95,1029.78,1030.4,,10042945.2,-0.017562594153429423
2006-01-17,1028.86,1036.11,1027.19,1034.18,,8661419.37,0.0036684782608695787
2006-01-18,1033.61,1055.6,1033.34,1054.54,,11025635.41,0.019687095089829576
2006-01-19,1056.17,1064.28,1048.57,1062.62,,14309231.48,0.0076621085971133596
2006-01-20,1062.73,1064.81,1056.96,1061.46,,12676655.96,-0.0010916414146165954
2006-01-23,1061.46,1064.17,1057.1,1061.97,,10144173.43,0.00048047029563047516
2006-01-24,1064.36,1073.16,1058.14,1066.55,,11979030.23,0.004312739531248555
2006-01-25,1066.1,1079.95,1065.68,1079.83,,10453598.56,0.012451361867704236
2006-02-06,1083.79,1104.55,1083.29,1104.22,,13482641.19,0.02258688867692138
2006-02-07,1105.4,1109.61,1089.87,1099.98,,16789059.43,-0.00383981452971327
2006-02-08,1099.65,1103.55,1093.36,1102.81,,14577117.16,0.002572774050437321
2006-02-09,1101.74,1101.74,1084.89,1087.26,,11724815.32,-0.014100343667540205
2006-02-10,1089.73,1099.95,1084.85,1099.61,,10319439.89,0.011358828615050554
2006-02-13,1102.06,1102.84,1090.04,1099.55,,10163930.62,-5.4564800247347556e-05
2006-02-14,1099.72,1105.46,1097.19,1105.36,,7580326.25,0.005283979809922235
2006-02-15,1107.54,1117.36,1107.16,1110.31,,13324047.1,0.0044781790547876454
2006-02-16,1110.88,1110.88,1089.53,1090.95,,12969763.4,-0.01743657176824487
2006-02-17,1090.95,1100.2,1085.87,1093.18,,10051416.92,0.0020440900132912
2006-02-20,1092.04,1102.2,1090.78,1093.03,,9363668.63,-0.00013721436542935006
2006-02-21,1091.7,1112.41,1086.19,1112.3,,12079130.16,0.01762989121982006
2006-02-22,1112.97,1120.58,1109.49,1111.39,,14352230.09,-0.0008181246066707448
2006-02-23,1111.95,1117.31,1103.95,1117.14,,10025660.38,0.005173701400948305
2006-02-24,1117.75,1125.72,1117.75,1125.33,,10165983.21,0.0073312207959610465
2006-02-27,1134.67,1136.09,1124.19,1125.15,,13980067.26,-0.00015995308042959788
2006-02-28,1123.68,1131.87,1110.23,1130.83,,10237040.72,0.005048215793449717
2006-03-01,1130.91,1133.26,1125.94,1131.48,,9788799.42,0.0005747990414122217
2006-03-02,1129.21,1129.52,1107.37,1111.47,,13625167.58,-0.01768480220596036
2006-03-03,1110.76,1116.18,1102.67,1115.29,,11739566.07,0.0034368898845671403
2006-03-06,1115.29,1119.12,1109.87,1113.51,,10146394.58,-0.0015959974535770804
2006-03-07,1113.27,1113.27,1087.87,1089.78,,10793353.29,-0.021310989573510852
2006-03-08,1087.23,1089.31,1073.67,1082.64,,10035039.47,-0.0065517810934315746
2006-03-09,1080.39,1084.32,1076.05,1078.03,,7216440.93,-0.004258109805660326
2006-03-10,1078.38,1085.99,1078.38,1083.14,,6387578.41,0.004740127825756391
2006-03-13,1083.24,1097.44,1083.19,1095.73,,6706345.55,0.011623612829366303
2006-03-14,1096.42,1098.13,1087.05,1093.21,,6480830.64,-0.0022998366385879043
2006-03-15,1092.31,1103.81,1092.15,1103.66,,7445248.77,0.009559005131676512
2006-03-16,1103.35,1103.56,1099.07,1100.34,,7597936.53,-0.003008172806842846
2006-03-17,1099.46,1102.27,1093.32,1096.41,,7995111.88,-0.003571623316429351
2006-03-20,1096.58,1111.64,1091.35,1111.51,,7482568.19,0.013772220246075717
2006-03-21,1111.42,1121.46,1109.52,1113.41,,9189392.88,0.001709386330307483
2006-03-22,1113.19,1117.98,1107.94,1117.65,,8248332.83,0.0038081209976559283
2006-03-23,1116.94,1117.66,1110.54,1116.55,,9542141.99,-0.0009842079362950562
2006-03-24,1116.57,1119.37,1108.03,1109.44,,9224335.73,-0.006367829474721143
2006-03-27,1109.27,1117.1,1103.19,1117.07,,8233524.96,0.0068773435246609615
2006-03-28,1115.45,1123.01,1114.25,1121.88,,11508491.65,0.004305907418514554
2006-03-29,1126.37,1143.34,1125.36,1134.92,,16927749.63,0.011623346525475142
2006-03-30,1135.29,1138.43,1125.1,1125.62,,11429705.06,-0.008194410178691158
2006-03-31,1122.89,1128.52,1119.73,1127.27,,11355109.06,0.0014658588155862518
2006-04-03,1128.84,1145.93,1128.84,1145.85,,13483356.63,0.016482297941043278
2006-04-04,1147.03,1155.05,1142.14,1155.05,,15066412.53,0.008028974124012711
2006-04-05,1154.19,1163.33,1152.76,1162.41,,15892329.3,0.006372018527336598
2006-04-06,1163.34,1167.8,1157.23,1161.09,,15397544.2,-0.001135571786202938
2006-04-07,1160.93,1161.71,1146.92,1155.29,,14634733.94,-0.004995306134752631
2006-04-10,1155.58,1168.8,1152.52,1168.53,,13889802.14,0.011460325978758679
2006-04-11,1170.16,1177.3,1163.83,1174.9,,16559969.94,0.005451293505515542
2006-04-12,1175.31,1175.78,1167.53,1167.9,,12763999.86,-0.005957953868414356
2006-04-13,1168.36,1173.35,1148.32,1148.62,,14907946.11,-0.016508262693723963
2006-04-14,1146.79,1173.61,1146.79,1173.44,,19112500.18,0.021608538942383237
2006-04-17,1177.07,1185.82,1171.31,1181.01,,20666656.72,0.006451118080174512
2006-04-18,1185.5,1196.19,1176.98,1191.46,,17918049.38,0.008848358608309903
2006-04-19,1198.22,1203.51,1187.78,1199.39,,19313213.24,0.006655699729743336
2006-04-20,1201.37,1205.38,1188.3,1194.93,,20579237.05,-0.0037185569331077417
2006-04-21,1195.32,1217.81,1191.06,1214.43,,21976754.21,0.01631894755341312
2006-04-24,1219.27,1222.87,1197.63,1201.84,,23573730.83,-0.01036700345017838
2006-04-25,1198.95,1203.98,1182.49,1195.5,,18606108.75,-0.0052752446249083595
2006-04-26,1195.97,1218.09,1194.2,1214.79,,21650941.92,0.0161355081555834
