date,open,high,low,close,volume,amount,return
2005-01-04,995.34,995.34,982.59,984.4,,11065233.5,
2005-01-05,983.51,1000.14,983.23,997.13,,12766989.61,0.012931735067045924
2005-01-06,997.62,997.62,984.56,987.53,,11026554.97,-0.009627631301836304
2005-01-07,986.91,1000.4,984.03,989.61,,12644922.53,0.002106265126122775
2005-01-10,989.12,998.97,985.74,998.97,,10550586.18,0.009458271440264454
2005-01-11,999.14,1003.4,994.98,1001.78,,10936988.25,0.0028128972842027533
2005-01-12,998.8,1001.3,993.28,1001.3,,10535803.09,-0.0004791471181297968
2005-01-13,1000.53,1004.49,998.06,1002.7,,13274286.94,0.001398182362928324
2005-01-14,1002.49,1009.08,992.09,992.28,,13899505.0,-0.01039194175725544
2005-01-17,983.12,984.26,968.58,970.81,,14983516.94,-0.021637037932841552
2005-01-18,970.5,980.54,965.92,980.54,,14835485.72,0.010022558482092325
2005-01-19,980.22,980.22,971.87,974.09,,13544687.59,-0.006578008036388083
2005-01-20,970.52,970.52,957.81,962.02,,15023285.58,-0.012391052161504601
2005-01-21,960.48,984.27,948.66,984.27,,24394545.29,0.023128417288621916
2005-01-24,996.02,1001.74,990.69,1001.43,,26312109.74,0.017434240604712103
2005-01-25,998.96,998.96,986.74,997.72,,17695814.34,-0.003704702275745597
2005-01-26,993.67,997.4,987.81,988.75,,14510113.6,-0.008990498336206576
2005-01-27,986.57,986.57,972.95,973.29,,13805974.06,-0.015635903919089755
2005-01-28,973.29,973.42,959.53,962.25,,12517329.1,-0.011342970748697723
2005-01-31,958.52,958.52,940.52,941.3,,13569271.99,-0.02177188880228631
2005-02-01,939.16,949.9,936.22,937.55,,14444511.63,-0.003983852119409326
2005-02-02,937.73,987.94,937.73,987.94,,27612899.31,0.053746466855101094
2005-02-03,986.85,992.52,971.65,972.19,,27160850.6,-0.015942263700224668
2005-02-04,971.32,995.41,969.44,992.61,,24015019.88,0.021004124708133176
2005-02-16,998.38,1009.1,995.35,1000.77,,19918635.81,0.008220751352495004
2005-02-17,1001.05,1001.13,990.85,1001.13,,16056552.56,0.00035972301327968914
2005-02-18,1000.78,1000.78,987.58,987.64,,15205929.9,-0.013474773505938287
2005-02-21,988.05,1006.17,988.05,1006.17,,17830040.71,0.018761897047507192
2005-02-22,1007.17,1029.66,1005.43,1029.04,,33541991.67,0.02272975739686145
2005-02-23,1029.42,1036.79,1023.13,1031.99,,35633000.56,0.0028667495918526242
2005-02-24,1030.52,1034.49,1024.35,1034.49,,29052581.15,0.0024225040940319964
2005-02-25,1035.01,1046.97,1035.01,1035.4,,34098666.43,0.0008796605090430898
2005-02-28,1034.73,1036.57,1026.44,1030.37,,25457517.72,-0.0048580258837166435
2005-03-01,1029.84,1032.91,1022.14,1028.35,,21762988.86,-0.001960460805341735
2005-03-02,1028.61,1035.86,1013.18,1013.53,,26898544.45,-0.014411435795205874
2005-03-03,1011.86,1019.6,1005.9,1019.34,,18447836.8,0.005732440085641333
2005-03-04,1019.48,1021.8,1012.58,1013.95,,16033536.17,-0.005287735201208621
2005-03-07,1014.66,1020.04,1014.12,1019.03,,15683822.31,0.0050101089797327525
2005-03-08,1021.66,1038.9,1021.66,1038.9,,25817413.12,0.019498935261965
2005-03-09,1041.21,1044.1,1033.08,1038.78,,28495219.23,-0.00011550678602378905
2005-03-10,1038.85,1038.85,1011.09,1013.8,,24981414.88,-0.024047440266466436
2005-03-11,1012.31,1019.09,1008.62,1018.75,,21104883.57,0.0048826198461235926
2005-03-14,1018.51,1028.7,1004.78,1019.3,,26403918.51,0.000539877300613556
2005-03-15,1019.21,1019.21,1002.46,1003.89,,22640670.43,-0.015118218385166249
2005-03-16,1002.44,1002.44,988.05,993.93,,19485010.13,-0.009921405731703747
2005-03-17,992.78,994.44,982.4,982.48,,18732914.15,-0.011519925950519538
2005-03-18,981.24,984.33,962.95,965.95,,18246055.77,-0.016824769969872144
2005-03-21,964.44,969.14,959.2,968.01,,13878369.56,0.0021326155598115903
2005-03-22,967.33,967.33,942.42,946.22,,20785557.59,-0.022510098036177317
2005-03-23,944.89,958.08,938.14,942.92,,19676112.04,-0.003487561032318176
2005-03-24,941.49,950.12,933.27,950.12,,16325757.82,0.007635854579391754
2005-03-25,949.81,952.08,945.33,948.21,,13792773.76,-0.0020102723866458616
2005-03-28,946.9,946.9,931.47,943.83,,13368564.93,-0.004619229917423362
2005-03-29,943.41,950.58,937.94,938.15,,13699379.62,-0.006018032908468807
2005-03-30,935.81,935.81,915.91,916.09,,16712982.48,-0.023514363374726788
2005-03-31,914.12,922.1,907.66,922.1,,14755423.2,0.00656049078147336
2005-04-01,921.4,965.15,915.72,955.99,,27992484.74,0.03675306365903919
2005-04-04,947.02,949.82,938.85,939.43,,20395219.99,-0.01732235692841977
2005-04-05,937.84,942.45,930.96,932.21,,17144764.14,-0.007685511427141911
2005-04-06,932.21,950.44,924.95,948.75,,25095356.94,0.017742783278445806
2005-04-07,950.16,974.19,948.83,961.07,,36046896.54,0.012985507246376926
2005-04-08,960.88,978.59,956.29,978.59,,27542837.2,0.018229681500827155
2005-04-11,978.82,984.02,970.35,973.08,,29628659.47,-0.005630550077151852
2005-04-12,971.56,971.56,954.64,954.88,,20058754.49,-0.018703498170756783
2005-04-13,961.99,980.38,961.99,977.37,,29064055.37,0.02355269772117974
2005-04-14,980.42,980.42,962.58,963.45,,24363288.96,-0.014242303324227268
2005-04-15,959.36,959.36,945.56,946.92,,21442051.37,-0.017157091701697103
2005-04-18,943.94,943.94,930.07,935.08,,17101307.59,-0.012503696193976177
2005-04-19,934.04,938.04,928.6,936.69,,16990762.26,0.0017217778158018504
2005-04-20,935.4,935.4,917.57,920.52,,17546506.9,-0.017262915158697156
2005-04-21,918.33,923.74,906.19,909.62,,19878702.32,-0.011841133272498139
2005-04-22,908.25,912.18,897.78,902.05,,20688621.93,-0.008322156504914191
2005-04-25,892.6,894.77,880.42,889.92,,20844709.94,-0.013447148162518685
2005-04-26,887.88,902.58,886.1,900.1,,21864690.39,0.011439230492628516
2005-04-27,901.95,901.95,887.64,887.98,,20088312.25,-0.013465170536607007
2005-04-28,885.12,906.44,878.14,904.97,,26689126.1,0.019133313813374242
2005-04-29,903.98,904.43,893.14,894.52,,21044939.71,-0.011547344110854563
2005-05-09,896.18,896.18,869.77,869.82,,15337247.01,-0.02761257434154618
2005-05-10,866.28,872.16,849.65,872.16,,18585834.12,0.002690211767951922
2005-05-11,870.99,875.57,862.32,863.16,,16547983.43,-0.010319207484865145
2005-05-12,861.4,861.4,848.28,851.46,,17816802.11,-0.013554844988182824
2005-05-13,849.54,862.28,843.55,854.9,,19654106.47,0.004040119324454361
2005-05-16,853.69,853.69,840.17,845.46,,15529782.52,-0.011042227161071394
2005-05-17,843.62,857.41,840.73,853.11,,16868550.36,0.009048328720459908
2005-05-18,852.53,860.37,845.0,856.27,,15609335.47,0.003704094430964311
2005-05-19,855.83,859.34,845.73,856.68,,15745341.41,0.0004788209326496151
2005-05-20,855.93,861.08,852.48,853.74,,14378466.61,-0.003431853200728363
2005-05-23,850.17,850.17,830.59,831.27,,14680530.5,-0.02631948836882425
2005-05-24,828.7,842.41,827.26,840.03,,16898448.36,0.010538092316575876
2005-05-25,839.57,846.71,835.01,840.55,,15691202.94,0.0006190255109936871
2005-05-26,839.76,844.02,827.85,829.98,,14234879.77,-0.012575099637142317
2005-05-27,828.14,834.65,821.84,822.45,,14629109.46,-0.009072507771271554
2005-05-30,820.39,830.3,816.73,828.85,,13359732.44,0.007781628062496271
2005-05-31,829.64,834.39,826.27,828.61,,14049808.79,-0.0002895578210774241
2005-06-01,827.86,828.74,810.23,811.21,,15314483.78,-0.0209990224592993
2005-06-02,809.39,809.39,791.31,795.82,,17193480.43,-0.018971659619580583
2005-06-03,793.99,799.27,784.43,794.36,,15157067.53,-0.001834585710336567
2005-06-06,792.98,811.39,783.14,811.39,,16325813.37,0.0214386424291253
2005-06-07,813.38,828.75,809.19,811.11,,24118583.58,-0.00034508682631040344
2005-06-08,816.94,878.29,816.94,875.89,,57569829.36,0.07986586282994912
2005-06-09,876.46,893.74,869.39,882.53,,58105789.56,0.0075808606103506815
2005-06-10,882.22,882.22,861.38,864.61,,39450925.64,-0.020305258744745203
2005-06-13,863.14,867.8,848.4,863.21,,27525342.28,-0.001619227166005488
2005-06-14,865.0,872.09,850.68,850.88,,26371331.17,-0.014283893838115902
2005-06-15,848.31,848.31,830.85,832.15,,21372958.05,-0.022012504701015456
2005-06-16,831.22,841.9,824.83,841.9,,20066224.63,0.011716637625428072
2005-06-17,845.15,845.15,838.15,841.0,,23850772.85,-0.0010690105713266895
2005-06-20,841.31,864.94,831.23,864.94,,31552569.3,0.028466111771700442
2005-06-21,864.75,864.75,853.94,855.84,,23443262.69,-0.010520960991513895
2005-06-22,854.13,859.46,850.38,858.98,,19390863.65,0.003668910076649823
2005-06-23,858.07,861.87,850.62,850.75,,18377572.72,-0.009581131108989727
2005-06-24,848.72,854.61,845.1,854.61,,17264423.68,0.004537173082574286
2005-06-27,859.62,876.68,859.62,873.38,,32300706.05,0.02196323469184769
2005-06-28,871.77,871.77,858.21,860.31,,20763452.0,-0.014964849206530961
2005-06-29,861.79,862.22,855.38,855.78,,19569461.28,-0.005265543815601292
2005-06-30,854.2,854.2,834.3,835.01,,20684860.4,-0.024270256374301802
