date,open,high,low,close,volume,amount,return
2000-01-04,3374.11,3512.3,3360.21,3497.06,,7344692.0,
2000-01-05,3500.13,3589.18,3468.69,3486.28,,9374104.0,-0.0030825893750749955
2000-01-06,3475.46,3663.22,3454.35,3655.2,,11240764.0,0.04845279208784148
2000-01-07,3701.48,3848.06,3701.48,3828.04,,29900744.0,0.047286058218428684
2000-01-10,3881.75,3929.06,3832.2,3921.48,,26987598.0,0.02440935831391533
2000-01-11,3924.71,3931.08,3691.56,3716.78,,17572832.0,-0.052199679712761515
2000-01-12,3699.29,3768.14,3585.47,3605.82,,11408536.0,-0.02985379818014522
2000-01-13,3604.28,3637.68,3552.05,3580.98,,7460569.0,-0.006888863004808954
2000-01-14,3582.16,3609.19,3524.51,3542.82,,6150628.0,-0.01065630078916946
2000-01-17,3535.51,3597.77,3496.0,3594.65,,6185397.0,0.014629588858592779
2000-01-18,3601.88,3633.11,3558.86,3571.97,,7353590.0,-0.006309376434423419
2000-01-19,3560.59,3640.09,3559.94,3603.86,,7346437.0,0.00892784653846479
2000-01-20,3608.17,3670.19,3603.99,3668.84,,9766664.0,0.018030667118034582
2000-01-21,3687.19,3744.27,3644.08,3702.09,,13965792.0,0.009062810043501512
2000-01-24,3709.19,3736.43,3646.17,3734.72,,14688966.0,0.008813940233759698
2000-01-25,3752.53,3803.77,3702.65,3726.06,,12497862.0,-0.0023187815954073265
2000-01-26,3718.13,3754.1,3700.66,3737.99,,9668232.0,0.0032017734550704446
2000-01-27,3782.89,3855.35,3754.1,3844.97,,16112455.0,0.028619659228622973
2000-01-28,3889.14,3952.41,3869.42,3952.41,,24555088.0,0.02794300085566337
2000-02-14,4102.64,4323.35,4096.46,4322.37,,41714644.0,0.09360364941896204
2000-02-15,4442.12,4578.6,4343.58,4394.68,,44069100.0,0.016729248074551784
2000-02-16,4425.85,4475.02,4329.14,4457.41,,32522376.0,0.014274076838358907
2000-02-17,4564.59,4685.47,4256.26,4313.97,,43707560.0,-0.032180122537527334
2000-02-18,4274.1,4360.43,4095.67,4356.6,,25284992.0,0.009881848969742535
2000-02-21,4389.42,4437.85,4275.3,4344.49,,27742936.0,-0.0027796905844008624
2000-02-22,4341.85,4395.91,4174.96,4186.68,,21417328.0,-0.036324171536820105
2000-02-23,4134.87,4164.7,4039.87,4072.47,,18598912.0,-0.027279371721746215
2000-02-24,4056.9,4222.64,4056.9,4221.84,,14804823.0,0.03667798657817012
2000-02-25,4254.67,4296.54,4189.37,4262.82,,16241532.0,0.009706668182593248
2000-02-28,4274.66,4506.05,4244.72,4481.74,,22673564.0,0.05135567535105867
2000-02-29,4523.95,4562.38,4369.47,4484.16,,24130956.0,0.000539968851383632
2000-03-01,4468.97,4510.38,4398.85,4427.2,,20526532.0,-0.01270249054449446
2000-03-02,4409.14,4505.64,4375.88,4443.52,,19281104.0,0.003686302855077761
2000-03-03,4462.38,4581.6,4462.35,4488.27,,24708672.0,0.010070844735704965
2000-03-06,4519.99,4552.27,4311.89,4316.1,,27264868.0,-0.03835999171172855
2000-03-07,4278.05,4401.64,4261.97,4399.95,,18532802.0,0.019427260721484485
2000-03-08,4411.97,4515.68,4373.83,4498.22,,19691668.0,0.02233434470846274
2000-03-09,4528.85,4606.71,4474.33,4548.68,,17909582.0,0.011217770584809106
2000-03-10,4559.53,4587.45,4450.31,4463.64,,16670584.0,-0.018695533649322416
2000-03-13,4462.32,4520.79,4451.52,4495.92,,21705038.0,0.007231766002634643
2000-03-14,4377.18,4417.8,4239.93,4371.56,,23897928.0,-0.027660634530863426
2000-03-15,4365.55,4415.47,4326.89,4335.21,,17976970.0,-0.008315109480368621
2000-03-16,4304.6,4304.6,4100.78,4131.54,,19461176.0,-0.04698042309369099
2000-03-17,4114.42,4327.97,4114.28,4315.0,,15471336.0,0.0444047498027369
2000-03-20,4252.17,4370.68,4231.79,4367.72,,18302640.0,0.01221784472769416
2000-03-21,4362.09,4406.87,4350.32,4387.27,,17995356.0,0.00447601952506127
2000-03-22,4394.22,4479.89,4384.68,4439.09,,17644540.0,0.011811445386310737
2000-03-23,4446.45,4492.91,4381.96,4492.43,,19425652.0,0.012015976247384152
2000-03-24,4515.38,4580.68,4455.64,4461.66,,24342118.0,-0.006849299822145327
2000-03-27,4461.67,4574.22,4461.67,4571.66,,23747320.0,0.024654500791185363
2000-03-28,4615.47,4635.67,4546.37,4591.12,,27047746.0,0.00425665950661247
2000-03-29,4612.88,4629.55,4510.64,4559.85,,22096184.0,-0.0068109742285106245
2000-03-30,4566.43,4584.78,4539.33,4580.82,,27654076.0,0.004598835488009323
2000-03-31,4578.6,4578.6,4488.05,4532.31,,22518898.0,-0.01058980706511048
2000-04-03,4523.89,4551.08,4506.39,4508.47,,21205952.0,-0.0052600108995192185
2000-04-04,4515.01,4515.01,4403.31,4413.63,,17921378.0,-0.021035961201915532
2000-04-05,4398.45,4444.68,4381.85,4442.22,,14880164.0,0.006477661244825628
2000-04-06,4445.0,4528.81,4436.17,4527.67,,16604186.0,0.019235877556717185
2000-04-07,4553.34,4569.18,4513.14,4556.89,,19930656.0,0.006453650553154278
2000-04-10,4556.81,4589.93,4522.68,4546.43,,19319852.0,-0.002295425169358989
2000-04-11,4556.96,4619.39,4511.93,4595.07,,16769893.0,0.01069850410101969
2000-04-12,4609.2,4616.77,4499.35,4538.64,,14129085.0,-0.01228055285338403
2000-04-13,4537.46,4615.47,4528.59,4601.47,,16097245.0,0.013843353956251248
2000-04-14,4624.45,4645.88,4585.6,4619.18,,18296884.0,0.0038487700669569413
2000-04-17,4615.12,4627.03,4495.41,4544.47,,19840048.0,-0.01617386635723228
2000-04-18,4543.78,4578.04,4501.89,4568.43,,12366207.0,0.005272341989274842
2000-04-19,4586.89,4611.64,4568.0,4574.25,,13517208.0,0.0012739606385563373
2000-04-20,4580.71,4600.91,4574.05,4587.93,,14805799.0,0.0029906542056075125
2000-04-21,4598.6,4615.75,4551.49,4559.35,,15258731.0,-0.0062293888529249
2000-04-24,4554.84,4575.74,4518.74,4533.51,,13996300.0,-0.005667474530360761
2000-04-25,4535.88,4558.51,4495.14,4528.92,,10837254.0,-0.0010124605438170953
2000-04-26,4540.51,4593.35,4536.57,4554.85,,10397254.0,0.005725426812573486
2000-04-27,4571.88,4612.25,4539.47,4553.95,,12365324.0,-0.00019759157820797846
2000-04-28,4556.92,4685.38,4531.72,4683.17,,12352354.0,0.028375366440123395
2000-05-08,4708.53,4721.56,4641.22,4651.64,,10534553.0,-0.006732619144724561
2000-05-09,4646.99,4649.72,4523.96,4554.06,,9901547.0,-0.020977547703605604
2000-05-10,4535.66,4535.66,4428.05,4438.82,,9595495.0,-0.02530489277699477
2000-05-11,4419.72,4468.6,4355.5,4367.38,,7969339.0,-0.016094367421972455
2000-05-12,4368.64,4423.5,4347.89,4378.45,,7422154.0,0.0025347004382489935
2000-05-15,4370.1,4392.45,4275.85,4296.92,,6902983.0,-0.01862074478411302
2000-05-16,4296.51,4353.74,4296.51,4346.12,,5922805.0,0.01145006190480613
2000-05-17,4349.82,4405.45,4314.18,4357.09,,7265504.0,0.0025240904530938746
2000-05-18,4361.57,4439.93,4341.51,4439.39,,9518684.0,0.01888875373242227
2000-05-19,4447.53,4482.43,4417.95,4479.37,,11470633.0,0.009005741779839038
2000-05-22,4494.74,4620.55,4484.64,4573.43,,14992926.0,0.020998488626748912
2000-05-23,4594.49,4606.57,4517.47,4547.5,,12835132.0,-0.005669705232178135
2000-05-24,4549.95,4648.27,4549.82,4616.1,,16023413.0,0.015085211654755515
2000-05-25,4638.18,4690.7,4635.52,4677.29,,17579728.0,0.01325577868763661
2000-05-26,4698.02,4722.82,4630.39,4662.3,,19658634.0,-0.003204847251292886
2000-05-29,4675.1,4718.64,4661.05,4701.22,,19734268.0,0.008347811166162566
2000-05-30,4722.02,4736.72,4616.27,4640.02,,17674512.0,-0.013017897481930163
2000-05-31,4629.31,4666.99,4614.29,4643.14,,15670720.0,0.0006724108947806506
2000-06-01,4665.01,4703.22,4665.01,4695.47,,14336450.0,0.0112703902962219
2000-06-02,4700.1,4728.93,4665.0,4728.88,,17891686.0,0.0071153686425426965
2000-06-05,4744.38,4781.77,4698.1,4721.14,,30359988.0,-0.0016367511969006543
2000-06-06,4727.72,4826.93,4727.72,4824.79,,19039022.0,0.02195444320651352
2000-06-07,4856.41,4875.05,4800.22,4826.18,,17240780.0,0.0002880954404234082
2000-06-08,4832.52,4834.59,4739.95,4760.34,,16168980.0,-0.013642259509591415
2000-06-09,4767.37,4796.33,4708.92,4731.39,,14555377.0,-0.006081498380367756
2000-06-12,4718.82,4742.72,4690.16,4737.88,,11838772.0,0.0013716899262161686
2000-06-13,4742.18,4790.02,4730.01,4790.02,,12276497.0,0.011004922032639142
2000-06-14,4792.18,4799.53,4759.39,4766.47,,15089446.0,-0.004916472165043206
2000-06-15,4769.21,4795.35,4742.62,4793.6,,14507897.0,0.005691843229895577
2000-06-16,4801.46,4811.52,4746.82,4757.17,,15736253.0,-0.007599716288384628
2000-06-19,4755.55,4792.68,4737.35,4752.92,,12297411.0,-0.0008933882959827333
2000-06-20,4751.97,4773.53,4715.41,4733.93,,10767456.0,-0.003995438593538236
2000-06-21,4754.3,4789.76,4741.18,4788.6,,9548141.0,0.011548544232804492
2000-06-22,4807.97,4817.14,4759.91,4764.77,,11796531.0,-0.004976402288769166
2000-06-23,4762.55,4814.27,4742.38,4808.31,,13448030.0,0.009137901724532327
2000-06-26,4822.85,4840.81,4811.85,4823.82,,14602741.0,0.0032256655664879563
2000-06-27,4834.22,4840.09,4791.58,4816.37,,14599128.0,-0.0015444191532850704
2000-06-28,4816.41,4854.16,4808.3,4824.68,,12819660.0,0.0017253657837750236
2000-06-29,4835.12,4848.06,4800.84,4846.78,,13830950.0,0.004580614672890171
2000-06-30,4852.97,4869.1,4817.91,4830.67,,14659691.0,-0.0033238562509542158
2000-07-03,4806.47,4806.47,4730.51,4739.37,,17856322.0,-0.01890006976257952
2000-07-04,4721.35,4757.68,4704.93,4753.47,,20064608.0,0.0029750789661917576
2000-07-05,4759.88,4771.6,4730.71,4735.26,,12872636.0,-0.003830885647747917
2000-07-06,4735.97,4738.87,4701.39,4703.53,,11465853.0,-0.006700793620624923
2000-07-07,4710.37,4765.08,4709.49,4753.03,,11691068.0,0.010524010689843655
2000-07-10,4762.95,4770.25,4697.96,4723.39,,15235548.0,-0.00623602207433982
2000-07-11,4731.02,4807.55,4713.21,4804.07,,13881378.0,0.017080952451522968
2000-07-12,4806.8,4834.72,4785.77,4805.01,,14716796.0,0.00019566742366383671
2000-07-13,4811.33,4850.47,4786.71,4839.13,,19237044.0,0.007100921746260758
2000-07-14,4850.0,4854.51,4811.17,4834.6,,14787056.0,-0.0009361186824904388
2000-07-17,4840.72,4851.35,4767.89,4770.58,,13371033.0,-0.01324204691184383
2000-07-18,4772.81,4805.06,4760.56,4795.6,,20040820.0,0.005244645305183093
2000-07-19,4807.52,4826.47,4771.2,4794.1,,26628768.0,-0.00031278672116108464
2000-07-20,4799.14,4809.43,4754.22,4801.64,,18150300.0,0.0015727665255209633
2000-07-21,4808.77,4821.07,4792.55,4797.62,,14565564.0,-0.00083721395189984
2000-07-24,4800.72,4801.1,4762.17,4774.39,,15010016.0,-0.004841984150474543
2000-07-25,4771.72,4792.16,4762.35,4781.09,,11763123.0,0.0014033206336305781
2000-07-26,4786.93,4827.93,4786.93,4819.62,,16066754.0,0.008058831772671082
2000-07-27,4841.93,4905.51,4835.58,4854.81,,18292480.0,0.0073014055049984705
2000-07-28,4854.32,4885.43,4842.45,4852.72,,14527993.0,-0.0004305008846896552
2000-07-31,4858.33,4894.67,4837.5,4894.13,,18450458.0,0.008533358611253039
2000-08-01,4900.54,4926.46,4896.74,4905.03,,22694900.0,0.0022271578401062975
2000-08-02,4910.97,4927.46,4871.55,4899.14,,23206660.0,-0.0012008081500010093
2000-08-03,4905.81,4934.68,4897.89,4916.64,,21178464.0,0.0035720555036189428
2000-08-04,4926.93,4957.75,4879.53,4915.97,,23466094.0,-0.00013627192554266365
2000-08-07,4921.93,4952.2,4888.6,4950.79,,17243938.0,0.007083037528707425
2000-08-08,4956.24,4996.58,4956.24,4989.45,,15391733.0,0.007808854748434069
2000-08-09,4985.5,5026.77,4983.5,5022.88,,18388362.0,0.006700137289681329
2000-08-10,5034.35,5047.47,5008.01,5036.55,,16720476.0,0.002721546204567993
2000-08-11,5051.47,5062.29,5007.67,5018.01,,17079348.0,-0.003681091223158739
2000-08-14,5022.85,5041.67,5005.45,5013.18,,15451747.0,-0.0009625329562914509
2000-08-15,5006.89,5022.78,4958.55,4980.14,,12666300.0,-0.006590627106946134
2000-08-16,4988.97,5007.99,4974.07,4999.46,,15075516.0,0.0038794090125979785
2000-08-17,5006.33,5023.07,5000.01,5011.91,,12101095.0,0.0024902689490464702
2000-08-18,5014.99,5022.67,4991.26,5006.88,,12803118.0,-0.0010036094024034048
2000-08-21,5003.71,5022.06,4985.79,5021.25,,17633444.0,0.0028700508100854005
2000-08-22,5022.87,5040.1,4941.13,4944.66,,17389212.0,-0.015253174010455561
2000-08-23,4919.56,4953.18,4707.05,4901.47,,24770072.0,-0.008734675387185309
2000-08-24,4907.05,4950.85,4866.81,4936.29,,16267319.0,0.007103991251603992
2000-08-25,4942.18,4959.06,4908.68,4950.64,,12488865.0,0.0029070415230871838
2000-08-28,4955.6,4961.06,4940.72,4957.47,,12979072.0,0.0013796196047379805
2000-08-29,4965.39,4987.1,4961.34,4985.46,,14762471.0,0.005646025089410589
2000-08-30,4989.72,5003.12,4926.71,4930.82,,14464217.0,-0.010959871305757263
2000-08-31,4906.64,4914.7,4825.78,4826.3,,18325648.0,-0.02119728564417267
2000-09-01,4800.59,4840.43,4779.33,4782.93,,13269934.0,-0.008986179889356238
2000-09-04,4775.58,4819.35,4742.72,4817.93,,11654511.0,0.007317690202449212
2000-09-05,4822.1,4842.35,4701.21,4723.07,,11252834.0,-0.01968895355474254
2000-09-06,4687.03,4706.99,4623.77,4632.68,,12304456.0,-0.01913797593514377
2000-09-07,4633.83,4710.32,4633.83,4670.47,,9142471.0,0.008157265341012021
2000-09-08,4681.14,4718.12,4673.93,4700.88,,8423860.0,0.006511122006992887
2000-09-11,4711.79,4716.39,4672.33,4704.87,,8783717.0,0.0008487772502170365
2000-09-12,4709.64,4735.79,4693.02,4734.01,,8629030.0,0.006193582394412589
2000-09-13,4734.39,4796.81,4731.6,4771.32,,13028035.0,0.007881267677930515
2000-09-14,4775.05,4783.64,4711.43,4727.81,,11006365.0,-0.00911906977524024
2000-09-15,4717.81,4719.35,4677.91,4710.8,,7584373.0,-0.0035978603201060055
2000-09-18,4714.6,4714.67,4624.81,4628.84,,7434543.0,-0.01739831875689901
2000-09-19,4609.78,4609.78,4498.85,4512.51,,10138739.0,-0.025131566439971942
2000-09-20,4504.91,4558.39,4480.85,4551.03,,8134072.0,0.008536269171702582
2000-09-21,4558.63,4570.89,4512.85,4518.34,,7617099.0,-0.007182989345268953
2000-09-22,4511.85,4511.85,4454.17,4465.13,,6645129.0,-0.011776448872816148
2000-09-25,4460.1,4475.1,4424.01,4428.03,,5870188.0,-0.008308828634328802
2000-09-26,4430.58,4479.88,4430.58,4477.39,,6705965.0,0.011147169282954339
2000-09-27,4483.27,4541.54,4482.39,4541.32,,5902908.0,0.014278407733076426
2000-09-28,4545.79,4553.0,4459.35,4465.2,,6550951.0,-0.016761646393559593
2000-09-29,4467.67,4525.03,4467.67,4523.66,,5419518.0,0.013092358684941408
2000-10-09,4534.85,4544.05,4478.67,4507.58,,5455105.0,-0.0035546438061215824
2000-10-10,4510.2,4573.41,4502.57,4572.21,,7691212.0,0.014338070538958858
2000-10-11,4587.41,4596.24,4550.35,4557.31,,7023271.0,-0.003258817945807291
2000-10-12,4553.88,4554.24,4490.34,4514.49,,9915223.0,-0.009395893630233743
2000-10-13,4507.82,4531.56,4471.5,4481.06,,9015272.0,-0.0074050446451314755
2000-10-16,4478.14,4484.72,4448.2,4468.68,,6488800.0,-0.002762739173320594
2000-10-17,4469.47,4492.95,4460.8,4491.99,,5945811.0,0.005216305486183792
2000-10-18,4502.26,4556.89,4499.27,4555.47,,6657137.0,0.014131821308596137
2000-10-19,4556.89,4570.16,4504.97,4514.14,,6433647.0,-0.009072609412420607
2000-10-20,4512.27,4614.01,4509.84,4611.97,,9492067.0,0.021671902067724957
2000-10-23,4632.68,4640.21,4590.14,4611.93,,9393157.0,-8.67308330276817e-06
