date,open,high,low,close,amount,daily_return,return,net_value
2010-06-01,986.0156,994.7931,948.1186,973.2333,4924176.8389099995,0.0,0.0,1.0
2010-06-02,967.6097,997.1196,952.6116,997.1196,4001206.16077,0.0245433,0.0245433,1.0245432415845204
2010-06-03,1002.355,1026.702,997.7751,998.3949,6240835.4958999995,0.00127895,0.00127895,1.0258536159829303
2010-06-04,989.6815,1027.682,986.5043,1027.682,5269440.64411,0.02933383,0.02933383,1.0559461950181934
2010-06-07,1005.029,1075.225,1001.703,1069.469,9106094.72342,0.04066141,0.04066141,1.0988824570634812
2010-06-08,1067.325,1075.503,1050.965,1067.155,6621994.29526,-0.00216343,-0.00216343,1.0965048154435324
2010-06-09,1070.852,1102.098,1069.431,1077.823,8994866.395709999,0.00999699,0.00999699,1.107466215962812
2010-06-10,1077.675,1119.106,1076.281,1117.478,8242731.10019,0.03679166,0.03679166,1.148211841908821
2010-06-11,1122.444,1128.229,1118.707,1122.199,8449039.15587,0.00422497,0.00422497,1.153062682914775
2010-06-17,1126.131,1129.685,1064.84,1064.84,6757409.316430001,-0.05111357,-0.05111357,1.0941261463207228
2010-06-18,1052.068,1053.139,993.1747,1000.277,5827721.36728,-0.060631130000000005,-0.060631130000000005,1.0277874791172887
2010-06-21,991.9573,1043.156,976.414,1040.803,5604269.44733,0.04051421,0.04051421,1.0694280600550763
2010-06-22,1037.039,1057.366,1033.647,1034.996,5067480.291850001,-0.00557959,-0.00557959,1.0634613509422666
2010-06-23,1026.865,1056.348,1023.737,1047.338,4608672.51183,0.01192485,0.01192485,1.0761427912505666
2010-06-24,1046.76,1059.755,1041.54,1050.602,3904947.8689,0.0031166300000000004,0.0031166300000000004,1.079496560588299
2010-06-25,1046.212,1046.212,999.1636,1016.284,4515664.637180001,-0.03266548,-0.03266548,1.044234717410512
2010-06-28,1009.223,1014.414,984.2165,987.8274,3463552.1842,-0.02800017,-0.02800017,1.0149954795011638
2010-06-29,985.5725,992.2276,912.54,913.3092,5293896.89701,-0.07543644,-0.07543644,0.9384278158176462
2010-06-30,898.2917,921.8104,881.3604,919.3148,3852158.58629,0.0065756700000000005,0.0065756700000000005,0.9445985869986159
2010-07-01,914.3952,921.2144,882.1904,882.1904,3663773.72175,-0.04038267,-0.04038267,0.9064531597922101
2010-07-02,878.951,885.338,832.623,873.1205,4212661.77441,-0.01028117,-0.01028117,0.897133811594815
2010-07-05,857.3698,870.8632,842.733,862.2687,2851736.00691,-0.01242876,-0.01242876,0.8859835560497159
2010-07-06,859.2588,898.4452,857.7974,893.7186,3751055.71342,0.036473490000000004,0.036473490000000004,0.9182984182723711
2010-07-07,896.532,908.5493,890.3369,908.5493,3342473.67259,0.01659436,0.01659436,0.933537004950406
2010-07-08,911.9974,914.2968,887.0273,905.5095,3780698.94506,-0.00334577,-0.00334577,0.9304136017540707
2010-07-09,903.4964,936.5306,896.8864,932.1471,4743256.7807,0.02941722,0.02941722,0.9577838119595785
2010-07-12,931.5356,941.0719,924.058,930.1738,4188147.30156,-0.00211691,-0.00211691,0.9557562405643129
2010-07-13,924.9489,936.6444,906.3046,931.0802,4744135.62313,0.00097441,0.00097441,0.9566875691573644
2010-07-14,929.7492,937.9323,916.0745,922.3621,4648080.32928,-0.0093634,-0.0093634,0.9477296964664075
2010-07-15,920.0461,930.5557,892.5576,892.5576,3960490.86422,-0.03231323,-0.03231323,0.9171054874509534
2010-07-16,885.0674,895.056,869.0223,892.2982,3264221.67498,-0.00029062,-0.00029062,0.9168389532088554
2010-07-19,881.6563,910.1765,878.0654,908.0493,2992584.13358,0.01765228,0.01765228,0.9330232535199936
2010-07-20,909.5439,937.5456,909.5439,937.017,4559580.86868,0.03190104,0.03190104,0.9627876481415094
2010-07-21,940.0972,959.038,938.1601,941.2507,5960654.02343,0.00451821,0.00451821,0.9671377870033835
2010-07-22,938.2185,950.2093,932.0198,950.2093,4356669.33532,0.00951778,0.00951778,0.9763427741323689
2010-07-23,951.8402,964.7437,948.1261,960.5887,5339086.41807,0.01092327,0.01092327,0.9870076373260143
2010-07-26,962.7602,966.7325,954.759,966.1547,4626044.94499,0.00579441,0.00579441,0.9927267182493653
2010-07-27,963.5442,968.0402,955.7317,957.9673,4574086.80029,-0.00847425,-0.00847425,0.9843141413266481
2010-07-28,955.1884,972.5341,954.5214,972.5341,5187227.5271499995,0.01520598,0.01520598,0.9992815699997113
2010-07-29,974.2959,982.0151,965.6065,975.3624,5897853.30433,0.0029081800000000002,0.0029081800000000002,1.0021876563409822
2010-07-30,971.6632,971.6632,955.9183,968.431,5049473.2416199995,-0.007106479999999999,-0.007106479999999999,0.995065623011461
2010-08-02,968.4501,994.2289,968.4501,994.2289,6104407.78903,0.02663881,0.02663881,1.021573039064734
2010-08-03,995.1951,996.2639,975.6455,975.6455,5951414.56157,-0.01869124,-0.01869124,1.0024785424008817
2010-08-04,971.407,978.0141,955.9306,978.0141,4758297.32082,0.00242772,0.00242772,1.0049122856770314
2010-08-05,980.2707,998.1018,978.3335,987.3519,6033987.12082,0.00954775,0.00954775,1.0145069018908417
2010-08-06,987.9679,1011.391,985.6303,1011.391,6225316.74574,0.024346939999999997,0.024346939999999997,1.039207145912496
2010-08-09,1013.245,1032.339,1013.245,1032.339,6918898.50149,0.02071249,0.02071249,1.0607312758410548
2010-08-10,1031.979,1034.333,993.9927,993.9927,7106822.60114,-0.03714542,-0.03714542,1.0213303428890073
2010-08-11,991.2786,1006.448,990.9409,1004.638,5180189.7265,0.010709169999999999,0.010709169999999999,1.032268419093346
2010-08-12,994.0526,1007.577,987.978,991.7774,5316055.44186,-0.01280074,-0.01280074,1.019054115801422
2010-08-13,992.6261,1007.521,986.6231,1007.206,4831450.13884,0.01555669,0.01555669,1.0349070464399441
2010-08-16,1007.498,1031.052,1005.052,1030.217,6199923.328810001,0.02284623,0.02284623,1.0585509147703847
2010-08-17,1031.076,1036.821,1023.08,1033.581,6092952.25351,0.00326535,0.00326535,1.0620074343941992
2010-08-18,1033.707,1035.611,1018.496,1026.722,5721278.60255,-0.006636039999999999,-0.006636039999999999,1.0549597922718017
2010-08-19,1026.983,1033.249,1021.704,1025.526,5547407.031140001,-0.0011648,-0.0011648,1.0537308988502552
2010-08-20,1021.458,1022.448,993.5607,995.9444,6597771.54162,-0.028845529999999998,-0.028845529999999998,1.023335720222479
2010-08-23,994.9387,1001.184,991.5183,995.613,5064149.9245,-0.00033277000000000003,-0.00033277000000000003,1.0229952057744018
2010-08-24,993.5763,1007.76,987.2249,1004.985,4942148.6541,0.0094138,0.0094138,1.0326249625860522
2010-08-25,1000.269,1002.33,976.555,976.8782,5247658.1059,-0.027967870000000002,-0.027967870000000002,1.0037451451774204
2010-08-26,978.5989,984.8689,973.0021,980.6306,4668329.05668,0.0038412600000000004,0.0038412600000000004,1.0076007469123796
2010-08-27,978.5141,1000.861,975.7206,999.4565,4490466.099020001,0.01919772,0.01919772,1.026944413019982
2010-08-30,1002.988,1025.153,1002.988,1024.929,5997851.09539,0.0254862,0.0254862,1.0531174796423428
2010-08-31,1020.747,1029.802,1015.133,1025.57,5742617.79704,0.0006256399999999999,0.0006256399999999999,1.0537761089761313
2010-09-01,1025.678,1029.805,987.5889,995.5869,6805223.638859999,-0.0292356,-0.0292356,1.0229683879497342
2010-09-02,1001.597,1018.276,996.5244,1014.922,5905102.0939,0.01942122,0.01942122,1.0428352585140686
2010-09-03,1017.638,1045.214,1017.51,1036.703,8448724.53579,0.02146058,0.02146058,1.0652152983256944
2010-09-06,1039.464,1043.241,1007.427,1010.764,6466212.1571,-0.0250208,-0.0250208,1.0385629016187587
2010-09-07,1010.116,1022.622,1007.637,1022.622,4586031.31768,0.01173181,0.01173181,1.0507470305424198
2010-09-08,1020.229,1027.637,1016.837,1026.328,4795945.8714499995,0.00362335,0.00362335,1.0545549561446366
2010-09-09,1029.106,1040.67,1019.689,1021.833,6404983.5196899995,-0.00437951,-0.00437951,1.049936330785229
2010-09-10,1021.875,1037.512,1016.191,1034.94,5743872.58833,0.012826830000000001,0.012826830000000001,1.0634038107820603
2010-09-13,1034.39,1045.39,1033.254,1042.482,5527660.293430001,0.0072882,0.0072882,1.0711532373584012
2010-09-14,1044.303,1046.132,1028.77,1031.219,5554204.86998,-0.01080408,-0.01080408,1.0595804726369311
2010-09-15,1029.521,1030.021,987.0493,990.1035,6238212.55055,-0.03987109,-0.03987109,1.0173341787626873
2010-09-16,989.4884,994.9547,964.5285,972.6022,4843029.70125,-0.01767627,-0.01767627,0.9993515429445335
2010-09-17,976.0716,981.7286,967.5555,972.2299,3271601.1931,-0.00038274,-0.00038274,0.9989690036294484
2010-09-20,972.4455,975.2627,947.414,949.1955,3136271.2455300004,-0.02369236,-0.02369236,0.9753010917320647
2010-09-21,952.0729,953.8341,930.2482,934.4615,2664430.09577,-0.015522629999999999,-0.015522629999999999,0.9601618645806714
2010-09-27,936.2133,951.8378,930.8654,950.6717,2896534.00256,0.01734711,0.01734711,0.9768178914552142
2010-09-28,949.6311,949.8899,939.6318,942.0492,2943710.10069,-0.009069899999999999,-0.009069899999999999,0.9679582480377522
2010-09-29,941.2686,944.1743,924.415,926.7588,2805263.8820100003,-0.01623101,-0.01623101,0.952247318294596
2010-09-30,923.8251,942.5399,921.3577,942.5399,2252413.16476,0.0170283,0.0170283,0.9684624436915589
2010-10-08,946.4691,963.1804,945.6189,959.8637,3415850.31605,0.0183799,0.0183799,0.9862626977519162
2010-10-11,960.9139,961.1739,941.9125,947.11,4702486.6507399995,-0.013287009999999998,-0.013287009999999998,0.9731582345158145
2010-10-12,946.6262,959.9768,945.0111,951.7909,3915278.78364,0.00494231,0.00494231,0.9779678726570494
2010-10-13,951.3265,962.7387,940.6459,962.7387,4123690.41571,0.01150233,0.01150233,0.9892167684767876
2010-10-14,963.2866,975.9073,956.8642,958.4955,4577347.13932,-0.00440745,-0.00440745,0.9848568683377357
2010-10-15,954.1175,957.7691,937.1206,944.2549,4343111.21575,-0.01485724,-0.01485724,0.9702246110978735
2010-10-18,941.8744,941.8744,913.8162,932.3593,4243012.67667,-0.01259784,-0.01259784,0.9580018480666455
2010-10-19,932.8261,1005.591,932.323,995.9223,7752443.01475,0.06817435,0.06817435,1.0233130124092549
2010-10-20,986.6545,1024.58,986.0331,1004.543,8597749.28095,0.0086556,0.0086556,1.0321708063215675
2010-10-21,1001.682,1001.682,983.6562,991.8421,4853646.88884,-0.012643070000000001,-0.012643070000000001,1.0191205952365172
2010-10-22,991.1352,1023.704,991.1352,1013.449,5596426.1308699995,0.02178422,0.02178422,1.0413217468000735
2010-10-25,1018.085,1043.088,1018.085,1039.054,6717409.62482,0.025265680000000002,0.025265680000000002,1.0676309575514937
2010-10-26,1041.532,1041.914,1020.942,1036.008,5899693.7507,-0.002932,-0.002932,1.0645011838374212
2010-10-27,1034.864,1048.556,1028.696,1030.593,5627187.689470001,-0.00522624,-0.00522624,1.0589372558460546
2010-10-28,1024.698,1038.622,1023.493,1038.622,5363520.70493,0.007790709999999999,0.007790709999999999,1.0671870763156173
2010-10-29,1042.401,1069.754,1042.401,1064.522,7678783.75111,0.024937140000000003,0.024937140000000003,1.0937994004109806
2010-11-01,1071.629,1113.623,1071.629,1107.523,9836595.786079999,0.04039450000000001,0.04039450000000001,1.1379830509293094
2010-11-02,1108.093,1108.093,1074.58,1075.152,8659221.61194,-0.029228800000000003,-0.029228800000000003,1.1047217558215487
2010-11-03,1063.201,1063.201,1040.549,1040.622,5454222.83925,-0.03211631,-0.03211631,1.069242082037267
2010-11-04,1041.419,1057.714,1037.24,1057.714,4549208.8211199995,0.01642507,0.01642507,1.086804160934485
