date,open,high,low,close,amount,return,net_value
2005-01-04,994.77,994.77,980.66,982.79,7412869.0,,1.0
2005-01-05,981.58,997.32,979.88,992.56,7119109.0,0.00994108609163713,1.0099410860916371
2005-01-06,993.33,993.79,980.33,983.17,6288029.0,-0.009460385266381821,1.0003866543208622
2005-01-07,983.04,995.71,979.81,983.96,7298694.0,0.000803523297090214,1.001190488303707
2005-01-10,983.76,993.96,979.79,993.88,5791698.0,0.010081710638643715,1.0112842011009475
2005-01-11,994.19,999.55,991.09,997.14,5849080.0,0.0032800740532055173,1.0146012881693953
2005-01-12,996.65,996.98,989.26,996.75,5014525.0,-0.0003911185991937183,1.0142044587348265
2005-01-13,996.08,999.47,992.7,996.88,6044066.0,0.00013042387760209273,1.014336735213016
2005-01-14,996.62,1006.46,987.23,988.31,7297842.0,-0.008596822084904976,1.0056166627662062
2005-01-17,979.11,981.52,965.08,967.45,7288189.0,-0.021106737764466477,0.984391375573622
2005-01-18,967.37,974.87,960.29,974.69,7311848.0,0.007483590883249791,0.9917581578974145
2005-01-19,974.33,974.33,965.26,967.21,6338091.0,-0.007674234884937792,0.9841471728446565
2005-01-20,963.21,963.21,952.23,956.25,7727106.0,-0.011331561915199462,0.9729952482218988
2005-01-21,954.46,984.27,943.44,982.6,14450060.0,0.027555555555555555,0.9998066728395688
2005-01-24,1001.85,1001.85,986.24,998.13,14359462.0,0.015805007123956827,1.0156086244263778
2005-01-25,995.64,997.95,985.24,997.78,9862529.0,-0.00035065572620807117,1.0152524954466364
2005-01-26,995.78,999.47,988.48,989.93,7663290.0,-0.007867465774018312,1.0072650311867233
2005-01-27,987.34,987.7,973.77,974.63,6945365.0,-0.015455638277453887,0.991697107215173
2005-01-28,974.63,975.62,965.21,969.21,5748807.0,-0.005561084719329368,0.9861821955860356
2005-01-31,965.79,965.79,953.14,954.88,6788706.0,-0.014785237461437672,0.9716012576440541
2005-02-01,953.33,965.48,952.74,955.95,7433067.0,0.0011205596514745064,0.972689994810692
2005-02-02,956.7,1006.93,956.7,1006.91,17057338.0,0.053308227417751874,1.0245423742610322
2005-02-03,1005.56,1014.19,992.16,993.22,16974540.0,-0.013596051285616362,1.010612643596292
2005-02-04,992.25,1021.03,989.94,1016.86,15736215.0,0.023801373311048923,1.0346666123993935
2005-02-16,1023.32,1033.25,1018.49,1023.58,12131293.0,0.006608579352123334,1.0415042888104276
2005-02-17,1024.43,1024.43,1010.48,1020.61,8968298.0,-0.0029015807264698434,1.0384822800394795
2005-02-18,1020.12,1021.2,1005.63,1006.06,8139939.0,-0.014256180127570794,1.0236774895959462
2005-02-21,1006.69,1025.66,1006.69,1025.63,9886094.0,0.019452120151879804,1.0435901871203412
2005-02-22,1026.84,1048.68,1024.53,1046.74,17937842.0,0.02058247126156587,1.065069852155598
2005-02-23,1046.81,1049.61,1036.62,1043.94,18696930.0,-0.0026749718172611736,1.062220820317667
2005-02-24,1042.25,1045.96,1034.73,1045.46,14681789.0,0.0014560223767650093,1.0637674376011153
2005-02-25,1046.27,1059.48,1045.98,1046.76,18170004.0,0.0012434717731906186,1.0650902023830116
2005-02-28,1046.21,1048.28,1035.04,1039.99,12971046.0,-0.006467576139707276,1.0582016504034433
2005-03-01,1039.35,1042.74,1031.17,1035.93,9962090.0,-0.003903883691189325,1.0540705542384436
2005-03-02,1036.37,1045.76,1021.0,1021.32,14225136.0,-0.014103269525933215,1.0392047131126692
2005-03-03,1019.88,1028.4,1014.75,1027.71,9203086.0,0.006256609094113408,1.0457066107713755
2005-03-04,1027.93,1031.85,1022.18,1023.67,8173641.0,-0.0039310700489438855,1.0415958648337895
2005-03-07,1024.48,1031.34,1024.48,1029.87,7932950.0,0.006056639346664339,1.0479044353320648
2005-03-08,1033.79,1049.29,1032.85,1048.99,14295794.0,0.018565450008253492,1.0673592527396494
2005-03-09,1051.26,1054.64,1041.98,1046.54,15327488.0,-0.0023355799387982934,1.06486634988146
2005-03-10,1046.69,1046.69,1019.63,1022.41,13295953.0,-0.023056930456552105,1.0403138005067205
2005-03-11,1021.08,1028.12,1016.93,1027.43,11476381.0,0.004909967625512435,1.0454217075875822
2005-03-14,1027.17,1041.57,1014.92,1031.03,14466089.0,0.0035038883427580547,1.0490847485220647
2005-03-15,1030.86,1030.94,1011.64,1013.52,12007493.0,-0.016983016983016963,1.0312681244212905
2005-03-16,1011.85,1012.2,995.97,1003.07,10622783.0,-0.01031060067882228,1.0206351305975845
2005-03-17,1001.97,1004.82,992.12,992.86,9969011.0,-0.01017875123371259,1.0102463395028438
2005-03-18,991.89,996.4,975.7,978.67,9652060.0,-0.014292045202747627,0.9958078531527589
2005-03-21,977.3,983.18,973.0,981.89,7252565.0,0.0032901795293613922,0.9990842397663794
2005-03-22,981.71,982.14,959.56,964.02,11375717.0,-0.01819959465927956,0.9809013115721568
2005-03-23,962.82,975.36,955.99,959.01,10930054.0,-0.005196987614364823,0.9758035796050021
2005-03-24,957.43,965.06,948.53,964.8,9260715.0,0.006037476147276788,0.9816949704412946
2005-03-25,964.25,966.97,959.06,962.96,7107323.0,-0.0019071310116085538,0.9798227495192259
2005-03-28,961.65,961.65,948.81,960.7,6669246.0,-0.002346930298247063,0.9775231738214675
2005-03-29,960.42,968.12,954.74,955.19,7577379.0,-0.0057354012699073476,0.971916686168968
2005-03-30,952.71,952.71,936.37,937.03,8950164.0,-0.019011924329191188,0.9534386796772453
2005-03-31,934.85,942.37,928.34,942.2,7859446.0,0.00551743273961347,0.9586992134637103
2005-04-01,941.43,989.9,937.55,978.15,16347505.0,0.0381553810231372,0.9952787472400002
2005-04-04,968.49,974.06,956.13,962.17,11435093.0,-0.016336962633542895,0.979018915536381
2005-04-05,960.54,967.75,953.59,955.6,9534537.0,-0.006828315162601184,0.9723338658309505
2005-04-06,955.6,977.86,948.95,973.67,14282421.0,0.018909585600669576,0.9907202962993108
2005-04-07,975.97,1000.27,974.31,984.73,20754212.0,0.01135908470015523,1.0019739720591376
2005-04-08,984.67,1003.7,979.53,1003.45,14762526.0,0.019010287083769173,1.0210217849184464
2005-04-11,1003.88,1008.74,992.77,995.42,15936066.0,-0.00800239174846784,1.0128511686118091
2005-04-12,993.71,993.71,978.2,978.7,10226193.0,-0.016796929939121075,0.9958383784938797
2005-04-13,987.95,1006.5,987.95,1000.9,16071687.0,0.022683151118831013,1.018427130923188
2005-04-14,1004.64,1006.42,985.58,986.98,12945710.0,-0.013907483265061416,1.0042633726431893
2005-04-15,982.61,982.61,971.93,974.08,10408955.0,-0.013070173661067108,0.9911374759612939
2005-04-18,970.91,970.91,958.65,963.77,8598400.0,-0.010584346254927768,0.9806469337294844
2005-04-19,962.92,968.87,957.91,965.89,9212623.0,0.002199694947964792,0.9828040578353463
2005-04-20,964.15,964.15,946.2,950.87,8850705.0,-0.01555042499663517,0.9675210370475891
2005-04-21,948.86,955.55,938.6,943.98,9946145.0,-0.007245995772292679,0.960510383703538
2005-04-22,942.91,947.91,934.96,939.1,10691884.0,-0.005169601050869721,0.9555449282145729
2005-04-25,935.99,935.99,920.16,930.07,11470478.0,-0.009615589394100676,0.9463568005372462
2005-04-26,928.43,939.7,924.66,937.08,11690471.0,0.007537067102476147,0.95348955524578
2005-04-27,938.57,938.91,925.9,926.6,10780611.0,-0.011183676953942068,0.9428260360809534
