date,open,high,low,close,amount,daily_return,return,net_value
2005-01-04,996.682,996.682,984.795,986.927,1329187.122,0.0,0.0,1.0
2005-01-05,986.57,1008.855,985.677,1003.633,1919861.791,0.01692728,0.01692728,1.016927290468292
2005-01-06,1003.49,1003.49,990.792,994.595,1629216.031,-0.009005309999999999,-0.009005309999999999,1.007769571609653
2005-01-07,993.434,1009.0,990.446,997.606,1906530.712,0.00302741,0.00302741,1.0108204558189207
2005-01-10,996.928,1006.457,993.123,1006.337,1650218.869,0.00875191,0.00875191,1.0196671081042468
2005-01-11,1006.211,1009.501,999.86,1008.343,1778497.883,0.0019934099999999997,0.0019934099999999997,1.0216996799155358
2005-01-12,1008.01,1008.743,998.361,1008.62,1825638.693,0.00027469,0.00027469,1.0219803491038344
2005-01-13,1008.098,1014.841,1005.348,1013.07,2716827.481,0.004411979999999999,0.004411979999999999,1.0264892945476212
2005-01-14,1012.699,1019.48,999.266,1000.169,2284638.759,-0.012734559999999999,-0.012734559999999999,1.0134174057453085
2005-01-17,990.987,991.022,974.333,977.522,2418653.726,-0.022643209999999997,-0.022643209999999997,0.9904704197980195
2005-01-18,977.603,991.839,974.149,991.419,2523669.419,0.01421659,0.01421659,1.0045515017828066
2005-01-19,991.291,991.291,981.227,986.241,2304569.213,-0.0052228,-0.0052228,0.9993049131293398
2005-01-20,983.198,983.198,966.887,972.463,2588992.483,-0.013970229999999998,-0.013970229999999998,0.9853444074384428
2005-01-21,971.501,989.718,951.427,988.519,3412342.279,0.01651062,0.01651062,1.0016130878980918
2005-01-24,1009.947,1009.947,998.37,1008.175,4105828.975,0.0198843,0.0198843,1.0215294545594558
2005-01-25,1006.0,1006.0,989.946,999.553,2651186.737,-0.0085521,-0.0085521,1.0127932461063482
2005-01-26,997.638,997.638,985.669,987.955,2238628.613,-0.01160315,-0.01160315,1.001041617059823
2005-01-27,986.146,986.146,970.354,971.373,2214822.674,-0.0167842,-0.0167842,0.9842399691162569
2005-01-28,971.373,971.941,949.112,952.413,2106037.353,-0.01951872,-0.01951872,0.9650288217872244
2005-01-31,948.439,948.439,921.58,922.653,2058937.471,-0.03124696,-0.03124696,0.9348746158530469
2005-02-01,919.8,929.688,911.933,913.331,2076599.356,-0.010103500000000001,-0.010103500000000001,0.9254291350829392
2005-02-02,913.025,964.423,913.025,964.243,3522826.077,0.05574319,0.05574319,0.9770155239445268
2005-02-03,963.746,967.936,944.764,945.312,3476526.549,-0.01963299,-0.01963299,0.9578337607543415
2005-02-04,944.447,963.81,943.472,962.028,2874284.614,0.01768305,0.01768305,0.9747711836843049
2005-02-16,967.432,979.304,965.939,972.337,2555290.412,0.010715859999999999,0.010715859999999999,0.9852167384213827
2005-02-17,971.838,977.44,964.324,977.272,2081885.379,0.0050754,0.0050754,0.9902171082562338
2005-02-18,977.12,977.12,964.554,964.769,2134898.913,-0.01279377,-0.01279377,0.977548491428444
2005-02-21,965.001,981.887,964.471,981.819,2568576.863,0.01767261,0.01767261,0.9948243385782332
2005-02-22,982.418,1008.671,980.505,1007.688,5328306.279,0.02634805,0.02634805,1.021036003676057
2005-02-23,1008.293,1023.33,1002.801,1019.258,5822771.921,0.01148174,0.01148174,1.0327592618299024
2005-02-24,1018.292,1024.873,1012.445,1024.446,4874675.166,0.00509003,0.00509003,1.0380159829450404
2005-02-25,1024.569,1035.474,1023.744,1024.118,5608389.732,-0.00032018,-0.00032018,1.0376836382022174
2005-02-28,1023.191,1026.037,1014.941,1020.847,4174609.104,-0.00319402,-0.00319402,1.0343693099894926
2005-03-01,1020.595,1023.96,1011.561,1021.162,3803211.754,0.00030857,0.00030857,1.0346884825321427
2005-03-02,1021.357,1028.329,1005.335,1006.148,4197819.828,-0.01470284,-0.01470284,1.0194756045786568
2005-03-03,1004.1,1011.7,996.362,1011.288,2991525.954,0.00510861,0.00510861,1.024683689877772
2005-03-04,1011.2,1012.665,1001.848,1003.21,2551598.958,-0.007987840000000001,-0.007987840000000001,1.0164986873395905
2005-03-07,1004.341,1008.356,1001.861,1006.953,2595513.439,0.003731,0.003731,1.020291267743207
2005-03-08,1007.684,1029.457,1007.684,1029.457,4502177.472,0.02234864,0.02234864,1.0430933594885945
2005-03-09,1031.602,1034.618,1024.89,1032.55,5012633.412,0.00300451,0.00300451,1.0462273298835678
2005-03-10,1032.274,1032.274,1002.415,1005.545,4259483.416,-0.026153759999999998,-0.026153759999999998,1.0188646171398694
2005-03-11,1003.781,1010.857,999.111,1009.434,3681413.477,0.00386759,0.00386759,1.0228051314838889
2005-03-14,1009.177,1016.538,991.059,1007.766,4838849.569,-0.00165244,-0.00165244,1.0211150368770943
2005-03-15,1007.892,1007.892,992.015,993.831,4049428.975,-0.013827609999999999,-0.013827609999999999,1.0069954515379558
2005-03-16,992.642,992.642,977.132,983.916,3199203.625,-0.00997652,-0.00997652,0.9969491157907323
2005-03-17,983.105,984.246,970.338,970.966,3178910.836,-0.0131617,-0.0131617,0.9838275779262295
2005-03-18,969.118,973.1,945.597,949.509,3123548.577,-0.02209864,-0.02209864,0.9620863549178409
2005-03-21,947.571,952.756,940.094,949.553,2502435.568,4.635e-05,4.635e-05,0.9621309377491952
2005-03-22,948.784,949.067,918.093,922.564,3283723.31,-0.0284228,-0.0284228,0.9347844369441711
2005-03-23,921.069,937.682,914.541,923.194,3122090.437,0.00068282,0.00068282,0.9354227820294713
2005-03-24,922.181,933.919,914.646,933.347,2510676.346,0.01099771,0.01099771,0.9457102703644747
2005-03-25,933.173,936.125,927.181,931.417,2271998.365,-0.0020678199999999997,-0.0020678199999999997,0.9437547052618886
2005-03-28,930.168,930.168,909.172,922.923,2155906.688,-0.009119460000000001,-0.009119460000000001,0.9351481923181755
2005-03-29,922.659,929.455,916.654,916.811,1999394.257,-0.00662244,-0.00662244,0.9289552317445972
2005-03-30,915.088,915.088,887.981,888.949,2457661.169,-0.03039012,-0.03039012,0.900724167035657
2005-03-31,887.07,896.408,880.878,896.068,2042255.429,0.00800835,0.00800835,0.9079374664995485
2005-04-01,895.227,934.549,884.626,927.546,3665270.899,0.035129060000000004,0.035129060000000004,0.9398324293488779
2005-04-04,919.139,920.623,904.618,909.87,2893226.429,-0.01905676,-0.01905676,0.9219222900984572
2005-04-05,908.185,912.382,899.796,901.744,2391142.553,-0.00893092,-0.00893092,0.9136886517442526
2005-04-06,901.744,921.638,893.027,918.557,3830190.11,0.01864497,0.01864497,0.9307243595524289
2005-04-07,919.235,945.571,917.626,932.333,5349441.629,0.014997439999999999,0.014997439999999999,0.9446828387509917
2005-04-08,931.774,949.468,928.058,949.457,4357191.759,0.01836679,0.01836679,0.9620336661171495
2005-04-11,949.847,957.342,943.722,948.509,4741992.562,-0.00099846,-0.00099846,0.9610731087506978
2005-04-12,947.115,947.115,927.11,927.41,3247372.938,-0.02224438,-0.02224438,0.9396946278701463
2005-04-13,932.311,951.198,932.311,950.229,4490048.505,0.02460512,0.02460512,0.962815892158184
2005-04-14,952.538,954.141,934.128,935.425,3795040.134,-0.01557942,-0.01557942,0.947815795899798
2005-04-15,931.666,931.666,911.318,913.271,3459646.367,-0.02368334,-0.02368334,0.9253683403129106
2005-04-18,910.889,910.889,895.275,901.118,2575525.21,-0.01330713,-0.01330713,0.9130543596436211
2005-04-19,899.934,905.052,893.29,902.785,2427298.091,0.00184992,0.00184992,0.9147434410042485
2005-04-20,902.22,902.22,880.928,884.083,2598639.279,-0.02071586,-0.02071586,0.895793711186339
2005-04-21,881.676,886.437,863.138,867.328,3136724.162,-0.01895185,-0.01895185,0.8788167716558569
2005-04-22,865.817,870.005,851.343,857.401,3135517.46,-0.011445499999999999,-0.011445499999999999,0.8687582769546278
2005-04-25,846.142,847.812,829.548,841.058,2874936.589,-0.019061110000000003,-0.019061110000000003,0.8521987948450088
2005-04-26,839.248,858.107,835.857,855.24,2916330.757,0.0168621,0.0168621,0.8665686519874317
2005-04-27,857.951,857.951,839.562,839.953,2978917.961,-0.0178745,-0.0178745,0.8510791578303156
2005-04-28,837.384,863.452,825.509,860.616,3771427.201,0.024600209999999997,0.024600209999999997,0.8720158633819928
2005-04-29,860.393,860.393,845.436,847.611,2897477.422,-0.015111270000000001,-0.015111270000000001,0.8588385969782972
2005-05-09,848.088,851.209,818.105,818.399,2068561.512,-0.03446396,-0.03446396,0.8292396499437141
2005-05-10,814.765,818.497,791.103,818.088,2367569.44,-0.00037998,-0.00037998,0.8289245303857327
2005-05-11,816.817,822.773,809.58,811.57,2279227.682,-0.00796736,-0.00796736,0.8223201918682942
2005-05-12,810.16,814.887,799.816,807.51,2220225.105,-0.00500265,-0.00500265,0.8182064124296934
