date,open,high,low,close,amount,daily_return,return,net_value
2022-09-23,12506.64,12521.25,12180.76,12284.19,,,,1.0
2022-09-26,12231.84,12368.49,12184.0,12227.92,,-0.004580684603543328,-0.004580684603543328,0.9954193153964567
2022-09-27,12332.85,12414.09,12139.68,12139.68,,-0.007216272268709578,-0.007216272268709578,0.9882360985950234
2022-09-28,12025.43,12198.37,11862.84,12183.28,,0.003591527948018536,0.003591527948018536,0.9917853761623681
2022-09-29,12143.21,12147.31,11866.98,11975.55,,-0.01705041663657092,-0.01705041663657092,0.9748750222847415
2022-09-30,12063.09,12137.77,11973.91,12114.36,,0.011591116900685261,0.011591116900685261,0.9861749126316021
2022-10-03,11951.84,12227.87,11893.94,12209.48,,0.007851838644385545,0.007851838644385545,0.9939181989207265
2022-10-04,12360.72,12673.35,12358.98,12670.48,,0.03775754577590518,0.03775754577590518,1.0314461108139812
2022-10-05,12611.07,12661.88,12455.36,12517.18,,-0.012098989146425376,-0.012098989146425376,1.0189666555141201
2022-10-06,12593.41,12643.22,12421.89,12470.78,,-0.003706905229452606,-0.003706905229452606,1.015189442690157
2022-10-07,12414.78,12497.52,12272.59,12273.0,,-0.01585947310432878,-0.01585947310432878,0.999089073028014
2022-10-10,12175.52,12410.83,12174.63,12272.94,,-4.888780249290292e-06,-4.888780249290292e-06,0.9990841887010865
2022-10-11,12168.66,12258.15,12097.68,12220.25,,-0.004293184844055387,-0.004293184844055387,0.9947949356042197
2022-10-12,12207.97,12298.62,12104.62,12172.26,,-0.003927088234692344,-0.003927088234692344,0.9908882881166767
2022-10-13,12114.23,12379.24,12000.43,12355.58,,0.015060473568589527,0.015060473568589527,1.0058115349892829
2022-10-14,12549.02,12676.42,12395.99,12437.81,,0.00665529258844999,0.00665529258844999,1.0125055050434746
2022-10-17,12467.54,12716.81,12398.05,12649.03,,0.016982089290638935,0.016982089290638935,1.0296999639373863
2022-10-18,12788.53,12931.76,12746.36,12765.61,,0.00921651699774606,0.00921651699774606,1.0391902111575937
2022-10-19,12817.63,12819.11,12705.26,12741.41,,-0.0018957182617987955,-0.0018957182617987955,1.0372201992968197
2022-10-20,12685.16,12818.34,12628.78,12767.41,,0.00204059048409877,0.00204059048409877,1.0393367409654197
2022-10-21,12641.12,12775.52,12548.15,12730.9,,-0.0028596246223784316,-0.0028596246223784316,1.0363646280300125
2022-10-24,12868.77,13020.45,12747.38,12931.45,,0.015753010392038247,0.015753010392038247,1.0526904907853103
2022-10-25,12965.19,13053.24,12789.26,13052.96,,0.009396471393385841,0.009396471393385841,1.0625820668680637
2022-10-26,13054.49,13203.24,13023.4,13195.81,,0.01094387786371831,0.01094387786371831,1.074210835228045
2022-10-27,13152.99,13259.49,13062.04,13211.23,,0.0011685527451517075,0.0011685527451517075,1.0754661072484224
2022-10-28,13072.92,13250.66,13051.25,13243.33,,0.002429751052702933,0.002429751052702933,1.0780792221546556
2022-10-31,13254.31,13307.09,13216.48,13253.74,,0.0007860560750203582,0.0007860560750203582,1.0789266528765835
2022-11-01,13344.85,13444.07,13287.07,13338.74,,0.006413284099431538,0.006413284099431538,1.0858461160239299
2022-11-02,13369.33,13398.64,13255.07,13256.74,,-0.006147507185836121,-0.006147507185836121,1.0791708692229605
2022-11-03,13130.97,13194.32,13022.64,13130.19,,-0.009546087499641587,-0.009546087499641587,1.0688690096782938
2022-11-04,13201.24,13542.35,13193.51,13459.85,,0.025107024346182394,0.025107024346182394,1.0957051299271665
2022-11-07,13398.79,13611.3,13391.0,13533.52,,0.005473315081520269,0.005473315081520269,1.101702269339696
2022-11-08,13506.65,13689.61,13487.91,13688.75,,0.011470038836902674,0.011470038836902674,1.1143388371557261
2022-11-09,13653.98,13691.12,13557.08,13666.32,,-0.0016385718199251054,-0.0016385718199251054,1.1125129129393145
2022-11-10,13603.79,14157.25,13599.35,14146.09,,0.035106012445193846,0.035106012445193846,1.151568805106401
2022-11-11,14179.39,14263.53,14172.47,14224.86,,0.005568323119674812,0.005568323119674812,1.1579811123077712
2022-11-14,14295.81,14431.18,14243.35,14313.3,,0.006217284388036148,0.006217284388036148,1.165180610198963
2022-11-15,14372.42,14440.78,14266.42,14378.51,,0.004555902552171753,0.004555902552171753,1.1704890595147095
2022-11-16,14374.86,14382.62,14195.31,14234.03,,-0.010048329068867323,-0.010048329068867323,1.1587276002731968
2022-11-17,14348.46,14384.54,14149.7,14266.38,,0.0022727224826699644,0.0022727224826699644,1.1613610665416279
2022-11-18,14320.61,14457.76,14300.21,14431.86,,0.011599298490577281,0.011599298490577281,1.1748320402077792
2022-11-21,14395.53,14425.95,14321.84,14379.93,,-0.0035982887860608326,-0.0035982887860608326,1.1706046552519946
2022-11-22,14352.54,14485.49,14343.8,14422.35,,0.0029499448189247435,0.0029499448189247435,1.1740578743897643
2022-11-23,14438.2,14446.33,14363.51,14427.59,,0.00036332497824553833,0.00036332497824553833,1.1744844389414362
2022-11-24,14456.15,14570.71,14447.55,14539.56,,0.007760824919477161,0.007760824919477161,1.183599407042711
2022-11-25,14547.58,14571.66,14498.05,14541.38,,0.00012517572746362227,0.00012517572746362227,1.1837475649595128
2022-11-28,14471.1,14514.73,14374.15,14383.36,,-0.01086691909571158,-0.01086691909571158,1.1708838759413522
2022-11-29,14404.67,14429.87,14327.04,14355.45,,-0.0019404367268843759,-0.0019404367268843759,1.1686118498655589
2022-11-30,14429.22,14487.7,14363.32,14397.04,,0.0028971575255389848,0.0028971575255389848,1.1719975024808311
2022-12-01,14543.8,14563.7,14423.79,14490.3,,0.006477720420308586,0.006477720420308586,1.1795893746352017
2022-12-02,14465.7,14584.59,14372.42,14529.39,,0.0026976667149749556,0.0026976667149749556,1.182771513628493
2022-12-05,14487.43,14507.16,14394.37,14447.61,,-0.00562859142744454,-0.00562859142744454,1.1761141760262581
2022-12-06,14406.87,14471.5,14305.26,14343.19,,-0.007227492990190099,-0.007227492990190099,1.1676138190633651
2022-12-07,14304.95,14372.35,14218.18,14261.19,,-0.005716998798733108,-0.005716998798733108,1.1609385722623957
2022-12-08,14277.75,14298.81,14196.77,14264.56,,0.0002363056659366869,0.0002363056659366869,1.1612129086248257
2022-12-09,14325.8,14385.57,14217.96,14370.72,,0.007442220440027514,0.007442220440027514,1.1698549110686174
